Unnamed: 0,Title,Lyrics
10,希望你回來,我知道此刻你也一樣不甘心 放不下心愛的人匆匆離去 為難你的淚水我拼命擦去 才知道我心中你多了不起 看你演的戲聽你愛的歌 就好像你從沒離開過這 怪自己是凡人無能為力 才會如此想你 我只希望你回來 我只希望你回來 說好要看著我實現 那不切實際的諾言怎能不告而別 還沒準備好去面對沒有你的世界 會不會你現在比從前快樂 少了受傷的心和崩壞的軀殼 答應我不必再對自己苛責 因為你早已經是最棒的人 一生風風雨雨坎坎坷坷 連天上的星星也都不捨 還來不及寫出你盼望的那一首情歌 我只希望你回來 我只希望你回來 說好要看著我實現 那不切實際的諾言怎能不告而別 I don't wanna say goodbye I don't wanna say goodbye 答應你我會更堅強 當個有骨氣的男人不再輕易流淚 只願這一切能發生在和你道別之前 我只希望你回來 我只希望你回來 說好要看著我實現 那不切實際的諾言怎能不告而別 I don't wanna say goodbye I don't wanna say goodbye 答應你我會更堅強 當個有骨氣的男人不再輕易流淚 只願這一切能發生再和你道別
11,"終究還是因為愛 (REMIX) [feat. 李浩瑋, PIZZALI, 陳忻玥, G5SH] - 【2022 EMZ昇恆昌年度歌曲】",我想我 不懂得溫柔 滔天的浪 我無法閃躲 也許我 不明白承諾 把愛記著 總有天會懂 夜再黑 火燒的再烈 我不會再選擇退怯 就讓火焰 把執著的愛給 鑄成信念 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 不掙扎不抵抗 接受失去擁抱徬徨 到最後 一直在尋找的答案 原來都是因為愛 耀眼的光線 照亮深淵 為何如此刺眼 太多的設限 牴觸一切 到底怎麼做才是正確 孤身一人使我滿身傷 這個選擇 真的值得嗎 願我能 吸收更多 愛的氛圍 愛 不需要靠別人撐起 強迫自己待在孤島裡 聽 腦裡浮出哪些聲音 撥不散的霧氣 不斷旋繞 世界怎麼變得這麼熱鬧 因為愛摻進每個分秒 那些喧囂 拋在後腦 內心終於不再被干擾 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 不掙扎不抵抗 接受失去擁抱徬徨 到最後 一直在尋找的答案 原來都是因為愛 There’s no deny that I’ve been crying for you But it was just a path that you wanna choose 心很痛 但我懂 我們都用力過 並不是 誰的錯 這份愛沒結果 緊握的 手鬆開 我願用溫暖的愛送你離去 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 不掙扎不抵抗 接受失去擁抱徬徨 到最後 一直在尋找的答案 終究還是因為愛 是你成為我的盔甲 抵抗所有千軍萬馬 是你讓我懂得原諒 放下過去凝視遠方 Just give in this feeling And let it wash over your skin 到最後 一直在尋找的答案 終究還是因為愛 終究還是因為愛 LOVE LOVE LOVE LOVE LOVE LOVE LOVE LOVE
12,Die With You,月光下皎潔的 如夢似幻你無預兆的出現 詩人的歌都無法 描繪這畫面 霓虹色的天空 瘋狂的你在試探我的底線 想祈求上天別收回 眼前的魔鬼 迷離的眼神掀起巨浪 被困在海上暈頭轉向 就讓我們相擁在這片絢爛花火 還捨不得閉上眼 就連夢境都不曾到過這種境界 你美得不科學 如果世界將末日wish I can die with you 潔淨的透明的 無暇的軀殼卻有混濁的靈魂 我破碎的心在此刻 正被拼湊著 暗示在耳邊掀起巨浪 我奮不顧身墜入徜徉 在這禁忌的愛中填滿陳舊的傷 還捨不得閉上眼 就連夢境都不曾到過這種境界 你美得不科學 如果世界將末日wish I can die with you That’s right baby I can give you all I’m coming 還捨不得閉上眼 時間已經凍結纏綿在這場永夜 就怕再沒機會 窺探靈魂深處那顫抖的瞬間 捨不得睡 就連夢境都不曾到過的境界 你美的不科學 如果世界將末日wish I can die with you 捨不得閉上眼 告別這場永夜 那顫抖的瞬間 Wish I could die with you in the end
13,偶像歌手,作詞：Bii畢書盡 ⧸ 阿夜Marz ⧸ 陳又齊Gyniuz Chen 製作：陳又齊Gyniuz Chen 編曲：凌享D.O.G. @奇洱文創 ⧸ 阿夜Marz ⧸ 陳又齊Gyniuz Chen 為了成就你 夢寐 的快感 所有的 愛恨 全部 都買單 躲在人設後的 所有 孤單 從沒被 訂閱 也沒人在看 I will be Fine 像籠裡的飛鳥 一樣自由 無數的放大鏡在 關注著我 I don't care I don't care 살래 난 이렇게 (我就是這樣活) 歡迎光臨 我 限量的美 領域沒展開 你當我是塑膠做的 去你的商業 這次不搞 美化過的 Nothing can stop us now 林北要說出 咱的心裡話 全給我 跪著 閉上嘴 聽著 You can hate my song (在你兒子最愛的Playlist) You won't break my soul (Cuz we got 防彈的意志) We can sing along (Let me show you 反轉的術式) This is how we roll 為了成就你 夢寐 的快感 所有的 愛恨 全部 都買單 躲在人設後的 所有 孤單 從沒被 訂閱 也沒人在看 I will be Fine 背負著 千萬支箭 貼上你愛的 標籤 I will Survive 來看吧 演戲吧 表裡不一的嘴 來看吧 니네오빠 (妳們的哥哥) 天菜變成了鬼 壓力扛下 尖叫聲 就在那 Make some noise Make some noise You can hate my song (在你兒子最愛的Playlist) You won't break my soul (Cuz we got 防彈的意志) We can sing along (Let me show you 反轉的術式) This is how we roll 為了成就你 夢寐 的快感 所有的 愛恨 全部 都買單 躲在人設後的 所有 孤單 從沒被 訂閱 也沒人在看 I will be Fine 背負著 千萬支箭 貼上你愛的 標籤 I will Survive Love me now Hate me now I don't care about you now Love me now Hate me now I don't care about you now 早一點回家呦 .. 為了成就你 夢寐 的快感 所有的 愛恨 全部 都買單 躲在人設後的 所有 孤單 從沒被 訂閱 也沒人在看 I will be Fine 背負著 千萬支箭 貼上你愛的 標籤 I will Survive 我不妥協 Don't give a shot ～ (Don't give don't give a shot ...)
14,懦弱,編曲：TRASH 請原諒我的衝動 來掩飾內心的懦弱 才明白 這就是 命中註定的 你和我 到底是什麼環節出了錯 讓對話框裡的 對白 變得冷漠 或許是執著早已過了頭 讓原本相愛的 彼此 開始著魔 不斷 指控 溢出的愛不夠 不斷 想像 虛構的傷和痛 變成 無數 自焚的牢籠 Cause we are fighting in the sicko mode And I don't think I can do this anymore 事到如今 只怪自己沒用 請原諒我的衝動 來掩飾內心的懦弱 幸福它 怎能憑空 讓人無條件接收 我試著鬆開手 卻只能夠 擁抱 無情的沉默 才懂 這就是 命中註定的 你和我 最怕又是 嘲笑聲叫醒我 最怕回到被窩裡的 夢境振作 不斷 指控 溢出的愛不夠 不斷 想像 虛構的傷和痛 變成 無數 自焚的牢籠 Cause we are fighting in the sicko mode And I don't think I can do this anymore 事到如今 只怪自己沒用 請原諒我的衝動 來掩飾內心的懦弱 幸福它 怎能憑空 讓人無條件接收 我試著鬆開手 卻只能夠 擁抱 無情的沉默 才懂 這就是 命中註定的 你和我 或許 這是生命中 因為執著 而不成熟 兩條交叉線 變成平行線 成為最熟悉的陌生人 原來 這是 生命中 因為執著 而不成熟 才會交叉線 變成平行線 成為最熟悉的 陌生人 請原諒 我的衝動 來掩飾內心的懦弱 幸福它 怎能憑空 讓人無條件接收 我試著鬆開手 卻只能夠 擁抱 無情的沉默 才懂 這就是註定 命中註定 耶 請原諒我這種懦弱 請原諒我這種懦弱
15,啟程,各位TRASH的乘客你們好 通往幸福的末班車已經進站 請搭乘Holy Trip的旅客儘速上車 Attention all Trash passengers the last train to happiness has arrived. Passengers boarding the holy trip please board promptly.
16,Trash Talk,"編曲：Flightsch I got a hunnit muthafuckas tryna lash out Couple hundred in my bag, when I checkout I just post a pic, they talking trash now Baby, I still be a hundred, never stress out I got a hunnit muthafuckas tryna lash out Couple hundred in my bag, when I checkout I just post a pic, they talking trash now Baby, I still be a hundred, never stress out 你在計算人氣 我在計算稅後純益 這不行那可以太多 評論沒人問你 你玩臉書IG我在杜拜 跟埃及 是粉還是黑 懶得理你 我潛在海裡 Dizzo on a repeat This shit finna go loud, I said, this shit finna go loud, 酸民 肇逃 who gonna hurt me now 誰都不需要討好 不用吵鬧 不被社會期待套牢 附 屬品太老 套 快樂自己找到 頭腦跟美貌 都要 I got a hunnit muthafuckas tryna lash out Couple hundred in my bag, when i checkout I just post a pic, they talking trash now Baby, I still be a hundred, never stress out I got a hunnit muthafuckas tryna lash out Couple hundred in my bag, when I checkout I just post a pic, they talking trash now Baby, I still be a hundred, never stress out They talking trash 你聽到我的聲音 你知道的 一堆恭維的話常聽 別三八了 街頭上面還有兄弟 都肚子餓 富人家裡養的千金 你看好了 你們好像都沒 別的事 三姑六婆管閒事 百貨門市 看到我的照片高的三公尺 還要幾次 證明你會失敗跟我對峙 他是瘋子 打給救護車送到急診室 昨天晚上我又喝到Black out 還有一堆兄弟等著我來慰勞 I just post a pic they talking trash now 我有的太多我來不及去煩腦 昨天晚上我又喝到Black out 還有一堆兄弟等著我來慰勞 I just post a pic they talking trash now 我有的太多我來不及去煩腦 They talking trash I got a hunnit muthafuckas tryna lash out Couple hundred in my bag, when i checkout I just post a pic, they talking trash now Baby, I still be a hundred, never stress out"
17,歸零 2Ø24,不知道走了多久 從沒休息過 是否該重新思考 為何而煩惱 過多期待讓人越來越迷惘 殘存的自己到底還剩下多少 從沒有感覺如此的平靜 感受大地重啟我的生命 仔細聽心裡真實的聲音 就讓這一切暫時歸零 如果追求的是快樂 為什麼憂愁 離開熟悉的生活 一切從頭來過 下一步我更明白該往哪走 屬於自己最驕傲的那條路 從沒有感覺如此的平靜 感受大地重啟我的生命 仔細聽心裡真實的聲音 就讓這一切暫時歸零 We start from zero We start and start and start and stop!!! 歸零之後力道更強烈 站穩腳步頭也不再回 跨越另一個境界 沉著的踏著地面 無所畏懼的向前 當一切回歸平靜 所有事如此清晰 人生不過 就這一次 心在哪裡 就往哪去 不要懷疑 別再恐懼 突破之前 全部都歸零 都歸零
18,離開台北,該上路了沒 心還留在那一條街 擁擠的人潮中我遺失了 應該留住的原點 先別說再見 我還沒有收拾好眷戀 後車廂已經超載的委屈 我先讓它消失人間 其實我知道在這分岔點 會讓妳到不同的平行世界 而我也知道每晚的星空 會閃爍起妳最迷人的側臉 原諒我放下這一切離開台北 準備好了沒 人生就是不斷得往前 還來不及說的一聲抱歉 在夢裡和妳相見 最後一根菸 它燒得好像不太甘願 告別迷惘的街流連的夜店 最後還是該說再見 其實我知道在這分岔點 會讓妳到不同的平行世界 而我也知道每晚的星空 會閃爍起妳最迷人的側臉 原諒我放下這一切離開台北 I will never forget You want me to be happy Although you're already gone But I will be fine 其實我知道在這分岔點 會讓妳到不同的平行世界 而我也知道每晚的星空 會閃爍起妳最迷人的側臉 原諒我放下這一切 離開台北
19,21世紀最強兒歌,製作：周已敦 Itun Chou 編曲：阿夜 Marz、伯璋Lance Lin 一閃一閃亮晶晶 滿天都是小星星 掛在天上放光明 好像許多小眼睛 一閃一閃亮晶晶 滿天都是小星星 掛在天上放光明 好像許多小眼睛 Hey 曾經那個中二的屁孩長大了 一把吉他就能對抗全世界(小星星) 擊敗所有心魔後最美的風景 原來是為了迎接你的出現(小星星) 明天九尾查克拉是否 還能成為你的拯救 還能再為我舉起雙手 就怕修行還不夠 死者甦生也換不回 能拯救我世界的笑容 就算有天我將會離開你 但我發誓會用盡全力守護你到最後 留下這輩子忘不掉的煙火 Hey 爸爸希望你平安又健康的成長 不必追求成功也志不在得獎 做愛的事不用管別人怎麼想(小星星) 記得要保持善良也保護自己 就是陪伴自己失敗最大的知音 最閃耀的存在就是你(小星星) 馬上要前進黑暗大陸 耶穌的晚宴緊握住 月牙天衝將擊散迷霧 就算有天我將會離開你 但我發誓會用盡全力守護你到最後 留下最燦爛的煙火 若不是你我早已經沒性命 茫茫渺渺的放袂記啥物叫做希望 從今以後就是一个勇敢的人 If you tryna fuck with us I'm gonna make you bleed for sure This is the war that we call love If you tryna fuck with us 我後面瘋狗好幾卡車 Y'all better ready for my Kamehameha 就算有天我將會離開你 但我發誓會用盡全力守護你到最後 留下最燦爛的煙火 就算有天我將會離開你 但我發誓會用盡全力守護你到最後 留下最燦爛的煙火 若不是你我早已經沒性命 茫茫渺渺的放袂記啥物叫做希望 從今以後就是一个勇敢的人 一閃一閃亮晶晶 滿天都是小星星 掛在天上放光明 好像許多小眼睛 一閃一閃亮晶晶 滿天都是小星星 掛在天上放光明 好像許多小眼睛
20,世界盡頭,編曲：TRASH 日子過了這麼久 怎麼還是很沒用 早忘了開始的理由 記不記得曾說過 改變世界不是場夢 是不是該放手一搏 別害怕 有我在 你的夢想左右 直到某個世界盡頭 別難過 沒什麼 眼淚擦乾之後 記得我們路還要走 你說妥協了之後 感覺少了些什麼 卻總覺得曾發生過 就算什麼都沒有 還是有一群好朋友 訴說著天長地久 別害怕 有我在 你的夢想左右 直到某個世界盡頭 別難過 沒什麼 眼淚擦乾之後 記得我們路還要走 有一天會是我（直到了那一刻） 我將不再迷惑（張開我的雙手） 用盡全力抓住的夢 就算有多少的無奈 阻擋著前方的阻礙 眼看著就煙消雲散 Then we can fly 別害怕 有我在 你的夢想左右 直到某個世界盡頭 別難過 沒什麼 眼淚擦乾之後 記得我們路還要走 別害怕 有我在 你的夢想左右 直到某個世界盡頭 別難過 沒什麼 眼淚擦乾之後 記得我們路還要走 Hey everybody go
