UNIQID	variance	skewness	curtosis	entropy
r325	-0.16108	-6.4624	8.3573	-1.5216
r657	1.04	-6.9321	8.2888	-1.2991
r400	2.2123	-5.8395	7.7687	-0.85302
r92	2.4486	-6.3175	7.9632	0.20602
r738	1.8216	-6.4748	8.0514	-0.41855
r635	2.1526	-6.1665	8.0831	-0.34355
r284	1.7747	-6.4334	8.15	-0.89828
r501	2.0051	-6.8638	8.132	-0.2401
r96	2.1616	-6.8804	8.1517	-0.081048
r582	2.3678	-6.839	8.4207	-0.44829
r568	1.8238	-6.7748	8.3873	-0.54139
r6	2.0922	-6.81	8.4636	-0.60216
r1314	-2.9498	-8.273	10.2646	1.1629
r948	-3.1158	-8.6289	10.4403	0.97153
r765	-3.5681	-8.213	10.083	0.96765
r1131	-3.3884	-8.215	10.3315	0.98187
r826	-3.8073	-8.0971	10.1772	0.65084
r1192	-3.7573	-8.2916	10.3032	0.38059
r1253	-3.8894	-7.8322	9.8208	0.47498
r881	-4.3876	-7.7267	11.9655	-1.4543
r1308	-4.2887	-7.8633	11.8387	-1.8978
r1186	-4.0218	-8.304	12.555	-1.5099
r820	-4.0173	-8.3123	12.4547	-1.4375
r1247	-4.1958	-8.1819	12.1291	-1.6017
r1003	-3.7181	-8.5089	12.363	-0.95518
r1369	-3.5637	-8.3827	12.393	-1.2823
r936	-2.902	-7.6563	11.8318	-0.84268
r1119	-3.1875	-7.5756	11.8678	-0.57889
r1058	-3.2305	-7.2135	11.6433	-0.94613
r1125	-3.3582	-7.2404	11.4419	-0.57113
r942	-3.1273	-7.1121	11.3897	-0.083634
r1064	-3.6012	-6.5389	10.5234	-0.48967
r1180	-3.5895	-6.572	10.5251	-0.16381
r997	-3.0866	-6.6362	10.5405	-0.89182
r814	-3.1128	-6.841	10.7402	-1.0172
r1363	-2.8391	-6.63	10.4849	-0.42113
r875	-3.5916	-6.2285	10.2389	-1.1543
r1302	-3.9297	-6.0816	10.0958	-1.0147
r1241	-3.6053	-5.974	10.0916	-0.82846
r876	-5.1216	-5.3118	10.3846	-1.0612
r1242	-5.0676	-5.1877	10.4266	-0.86725
r1303	-5.2943	-5.1463	10.3332	-1.1181
r1059	-4.8426	-4.9932	10.4052	-0.53104
r937	-4.3773	-5.5167	10.939	-0.4082
r1120	-4.6765	-5.6636	10.969	-0.33449
r1364	-4.5046	-5.8126	10.8867	-0.52846
r815	-4.8554	-5.9037	10.9818	-0.82199
r1181	-5.0477	-5.8023	11.244	-0.3901
r998	-4.7331	-6.1789	11.388	-1.0741
r1274	-3.0986	-10.4602	8.9717	-2.3427
r1213	-2.9662	-10.3257	8.784	-2.1138
r1152	-2.7611	-10.5099	9.0239	-1.9547
r786	-2.6685	-10.4519	9.1139	-1.7323
r847	-2.9098	-10.0712	8.4156	-1.9948
r969	-2.3299	-9.9532	8.4756	-1.8733
r1007	-1.9409	-8.6848	9.155	0.94049
r885	-1.6514	-8.4985	9.1122	1.2379
r1068	-1.4454	-8.4385	8.8483	0.96894
r832	-2.8267	-9.0407	9.0694	-0.98233
r1266	-2.4554	-9.0407	8.862	-0.86983
r1144	-2.3221	-9.3304	9.233	-0.79871
r839	-2.258	-9.3263	9.3727	-0.85949
r771	-2.4115	-9.1359	9.3444	-0.65259
r954	-2.2083	-9.1069	8.9991	-0.28406
r1205	-2.4349	-9.2497	8.9922	-0.50001
r1137	-2.5961	-9.349	9.7942	-0.28018
r1198	-2.9138	-9.4711	9.7668	-0.60216
r1259	-3.0	-9.1566	9.5766	-0.73018
r893	-1.8391	-9.0883	9.2416	-0.10432
r778	-1.8187	-9.0366	9.0162	-0.12243
r961	-1.8076	-8.8131	8.7086	-0.21682
r1327	-1.3968	-9.6698	9.4652	-0.34872
r1076	-1.6001	-9.5828	9.4044	0.081882
r1015	-2.0042	-9.3676	9.3333	-0.10303
r1320	-1.9966	-9.5001	9.682	-0.12889
r1022	-1.7713	-10.7665	10.2184	-1.0043
r1083	-1.48	-10.5244	9.9176	-0.5026
r900	-1.5449	-10.1498	9.6152	-1.2332
r1335	-2.0545	-10.8679	9.4926	-1.4116
r1091	-1.5572	-9.8808	8.1088	-1.0806
r1030	-1.8554	-9.6035	7.7764	-0.97716
r908	-1.7322	-9.2828	7.719	-1.7168
r907	-1.786	-8.1157	7.0858	-1.2112
r1090	-1.7101	-8.7903	7.9735	-0.45475
r1029	-1.8439	-8.6475	7.6796	-0.66682
r1328	-2.9672	-13.2869	13.4727	-2.6271
r962	-3.3863	-12.9889	13.0545	-2.7202
r1145	-3.73	-12.9723	12.9817	-2.684
r779	-3.5801	-12.9309	13.1779	-2.5677
r1206	-3.793	-12.7095	12.7957	-2.825
r1267	-3.9411	-12.8792	13.0597	-3.3125
r840	-3.8858	-12.8461	12.7957	-3.1353
r1023	-3.0061	-12.2377	11.9552	-2.1603
r901	-2.8957	-12.0205	11.9149	-2.7552
r1084	-2.6649	-12.813	12.6689	-1.9082
r1069	-3.1423	-13.0365	15.6773	-0.66165
r886	-3.2692	-12.7406	15.5573	-0.14182
r1313	-3.506	-12.5667	15.1606	-0.75216
r1008	-3.5713	-12.4922	14.8881	-0.47027
r947	-3.4917	-12.1736	14.3689	-0.61639
r1252	-4.5531	-12.5854	15.4417	-1.4983
r1191	-4.4018	-12.9371	15.6559	-1.6806
r825	-4.211	-12.4736	14.9704	-1.3884
r1130	-4.0214	-12.8006	15.6199	-0.95647
r764	-3.8483	-12.8047	15.6824	-1.281
r819	-4.0025	-13.4979	17.6772	-3.3202
r941	-3.3793	-13.7731	17.9274	-2.0323
r1124	-3.5985	-13.6593	17.6052	-2.4927
r1063	-3.6961	-13.6779	17.5795	-2.6181
r1368	-3.7503	-13.4586	17.5932	-2.7771
r1002	-3.8203	-13.0551	16.9583	-2.3052
r1185	-4.244	-13.0634	17.1116	-2.8017
r1246	-4.4775	-13.0303	17.0834	-3.0345
r880	-4.4861	-13.2889	17.3087	-3.2194
r1307	-4.6338	-12.7509	16.7166	-3.2168
r1094	1.164	3.913	-4.5544	-3.8672
r911	1.2279	4.0309	-4.6435	-3.9125
r1155	0.96708	3.8426	-4.9314	-4.1323
r972	1.2309	3.8923	-4.8277	-4.0069
r789	1.1644	3.8095	-4.9408	-4.0909
r1338	1.5514	3.8013	-4.9143	-3.7483
r1270	-0.071503	3.7412	-4.5415	-4.2526
r1026	0.11686	3.735	-4.4379	-4.3741
r843	0.0096613	3.5612	-4.407	-4.4103
r1209	0.025013	3.3998	-4.4327	-4.2655
r1277	0.53936	3.8944	-4.8166	-4.3418
r1216	0.61652	3.8944	-4.7275	-4.3948
r850	0.60731	3.9544	-4.772	-4.4853
r1033	0.67886	4.1199	-4.569	-4.1414
r1331	0.90407	3.3708	-4.4987	-3.6965
r965	0.48797	3.5674	-4.3882	-3.8116
r1148	0.33325	3.3108	-4.5081	-4.012
r782	0.47368	3.3605	-4.5064	-4.0431
r1087	0.64376	3.764	-4.4738	-4.0483
r904	0.74521	3.6357	-4.4044	-4.1414
r835	-0.89569	3.0025	-3.6067	-3.4457
r1291	-0.76794	3.4598	-3.4405	-3.4276
r1230	-0.77848	3.4019	-3.4859	-3.5569
r1262	-0.87834	3.257	-3.6778	-3.2944
r1018	-0.8172	3.3812	-3.6684	-3.456
r1323	0.062525	2.9301	-3.5467	-2.6737
r1352	0.11592	3.2219	-3.4302	-2.8457
r1169	-0.3489	3.1929	-3.4054	-3.1832
r1079	-0.27068	3.2674	-3.5562	-3.0888
r896	-0.28696	3.1784	-3.5767	-3.1896
r986	-0.55648	3.2136	-3.3085	-2.7965
r957	-0.36372	3.0439	-3.4816	-2.7836
r803	-0.28015	3.0729	-3.3857	-2.9155
r1201	-0.70346	2.957	-3.5947	-3.1457
r1140	-0.49081	2.8452	-3.6436	-3.1004
r774	-0.36506	2.8928	-3.6461	-3.0603
r1108	-0.40857	3.0977	-2.9607	-2.6892
r925	-0.23356	3.2405	-3.0669	-2.7784
r1047	-0.8471	3.1329	-3.0112	-2.9388
r864	-0.77995	3.2322	-3.282	-3.1004
r1168	0.98296	3.4226	-3.9692	-1.7116
r802	0.91315	3.3377	-4.0557	-1.6741
r1046	1.0637	3.6957	-4.1594	-1.9379
r863	0.59823	3.5012	-3.9795	-1.7841
r1290	0.52374	3.644	-4.0746	-1.9909
r1229	0.6212	3.6771	-4.0771	-2.0711
r985	0.84546	3.4826	-3.6307	-1.3961
r924	1.7425	3.6833	-4.0129	-1.7207
r1107	1.4501	3.6067	-4.0557	-1.5966
r1351	1.4896	3.4288	-4.0309	-1.4259
r795	1.6408	4.2503	-4.9023	-2.6621
r1161	1.7331	3.9544	-4.7412	-2.5017
r978	1.6799	4.2068	-4.5398	-2.3931
r856	1.296	4.2855	-4.8457	-2.9013
r1283	1.208	4.0744	-4.7635	-2.6129
r1222	1.3403	4.1323	-4.7018	-2.5987
r1344	2.2279	4.0951	-4.8037	-2.1112
r1039	1.7875	4.78	-5.1362	-3.2362
r1100	2.1943	4.5503	-4.976	-2.7254
r917	2.3917	4.5565	-4.9888	-2.8987
r1345	1.2572	4.8731	-5.2861	-5.8741
r1162	0.6818	4.8504	-5.2133	-6.1043
r796	0.81583	4.84	-5.2613	-6.0823
r979	0.63655	5.2022	-5.2159	-6.1211
r1223	0.26877	4.987	-5.1508	-6.3913
r857	0.25943	5.0097	-5.0394	-6.3862
r1284	0.2952	4.8856	-5.149	-6.2323
r1101	0.7376	4.8525	-4.7986	-5.6659
r918	0.89512	4.7738	-4.8431	-5.5909
r1040	0.27331	4.8773	-4.9194	-5.8198
r1157	-3.3203	-0.02691	2.9618	-0.44958
r1218	-3.5798	0.45937	2.3457	-0.45734
r974	-3.0799	0.60836	2.7039	-0.23751
r852	-3.1366	0.42212	2.6225	-0.064238
r1279	-3.3553	0.35591	2.6473	-0.37846
r791	-2.7338	0.45523	2.4391	0.21766
r1096	-2.5919	-1.0553	3.8949	0.77757
r1340	-2.2625	-0.099335	2.8127	0.48662
r1035	-2.3898	-0.78427	3.0141	0.76205
r1179	-2.2183	-1.254	2.9986	0.36378
r913	-2.5346	-0.77392	3.3602	0.00171
r874	-1.8629	-0.84841	2.5377	0.097399
r1301	-2.5724	-0.95602	2.7073	-0.16639
r1240	-2.2811	-0.85669	2.7185	0.044382
r882	-3.3604	-0.32696	2.1324	0.6017
r1187	-3.0201	-0.67253	2.7056	0.85774
r821	-3.0731	-0.53181	2.3877	0.77627
r1248	-3.38	-0.7077	2.5325	0.71808
r1309	-3.3458	-0.50491	2.6328	0.53705
r1004	-2.899	-0.60424	2.6045	1.3776
r1370	-2.5419	-0.65804	2.6842	1.1952
r1010	-1.8483	0.31038	0.77344	1.4189
r1071	-1.366	0.18416	0.90539	1.5806
r888	-1.3066	0.25244	0.7623	1.7758
r1315	-1.6029	-0.38903	1.62	1.9103
r949	-2.0891	-0.48422	1.704	1.7435
r1132	-2.0046	-0.49457	1.333	1.6543
r943	-2.121	-0.05588	1.949	1.353
r1126	-2.3629	-0.10554	1.9336	1.1358
r1065	-2.6286	0.18002	1.7956	0.97282
r1254	-2.5084	-0.22763	1.488	1.2069
r1193	-2.4725	-0.40145	1.4855	1.1189
r827	-2.5912	-0.10554	1.2798	1.0414
r766	-2.2804	-0.30626	1.3347	1.3763
r1333	-1.0833	-0.31247	1.2815	0.41291
r1150	-2.3142	-0.68494	1.9833	-0.44829
r1272	-2.3675	-0.43663	1.692	-0.43018
r1211	-2.456	-0.24418	1.4041	-0.45863
r845	-2.1405	-0.16762	1.321	-0.20906
r967	-1.9555	0.20692	1.2473	-0.3707
r784	-1.6662	-0.30005	1.4238	0.024986
r929	-2.2214	-0.23798	0.56008	0.05602
r1112	-2.6864	-0.097265	0.61663	0.061192
r1051	-2.4198	-0.24418	0.70146	0.41809
r1356	-2.5899	-0.3911	0.93452	0.42972
r1295	-3.5933	0.22968	0.7126	-0.3332
r1234	-3.5359	0.30417	0.6569	-0.2957
r868	-3.3125	0.10139	0.55323	-0.2957
r807	-3.0265	-0.062088	0.68604	-0.055186
r1173	-3.2051	-0.14279	0.97565	0.045675
r990	-2.9883	0.31245	0.45041	0.068951
r1287	-2.659	-1.6058	1.3647	0.16464
r1226	-2.564	-1.7051	1.5026	0.32757
r860	-2.3797	-1.4402	1.1273	0.16076
r982	-2.0336	-1.4092	1.1582	0.36507
r799	-2.0631	-1.5147	1.219	0.44524
r921	-1.4174	-2.2535	1.518	0.61981
r1104	-1.6706	-2.09	1.584	0.71162
r1043	-1.4904	-2.2183	1.6054	0.89394
r1348	-1.5851	-2.1562	1.7082	0.9017
r1165	-2.1979	-2.1252	1.7151	0.45171
r777	-0.77461	-1.8768	2.4023	1.1319
r1326	-0.24037	-1.7837	2.135	1.2418
r838	-1.3414	-2.0776	2.8093	0.60688
r1089	-1.4628	-1.5706	2.4357	0.49826
r1028	-1.2369	-1.6906	2.518	0.51636
r1143	-1.3995	-1.9162	2.5154	0.59912
r813	-1.2568	-1.4733	2.8718	0.44653
r1362	-1.1667	-1.4237	2.9241	0.66119
r906	-1.3907	-1.3781	2.3055	-0.021566
r1265	-1.4377	-1.432	2.1144	0.42067
r1204	-1.6641	-1.3678	1.997	0.52283
r996	-1.4233	-0.98912	2.3586	0.39481
r960	-1.1859	-1.2519	2.2635	0.77239
r1349	-0.21888	-2.2038	-0.0954	0.56421
r1227	-1.3414	-1.9162	-0.15538	-0.11984
r1288	-1.4094	-2.1252	-0.10397	-0.19225
r861	-1.2424	-1.7175	-0.52553	-0.21036
r1166	-0.87874	-2.2121	-0.051701	0.099985
r800	-0.91318	-2.0113	-0.19565	0.066365
r983	-0.69745	-1.7672	-0.34474	-0.12372
r964	-0.21394	-0.68287	0.096532	1.1965
r1330	0.22432	-0.52147	-0.40386	1.2017
r1322	-0.025314	-0.17383	-0.11339	1.2198
r956	-0.51003	-0.23591	0.020273	0.76334
r1139	-0.53072	-0.097265	-0.21793	1.0426
r781	-0.3481	-0.38696	-0.47841	0.62627
r1147	-0.26654	-0.64562	-0.42014	0.89136
r1200	-0.8734	-0.033118	-0.20165	0.55774
r1261	-1.005	0.084831	-0.2462	0.45688
r834	-0.94255	0.039307	-0.24192	0.31593
r842	-0.52645	-0.24832	-0.45613	0.41938
r773	-0.61442	-0.091058	-0.31818	0.50214
r1208	-0.69078	-0.50077	-0.35417	0.47498
r1269	-0.74324	-0.32902	-0.42785	0.23317
r1357	-1.0116	-0.19038	-0.90597	0.003003
r1318	0.66365	-0.045533	-0.18794	0.23447
r762	0.39012	-0.14279	-0.031994	0.35084
r1311	0.55939	-0.3104	0.18307	0.44653
r1061	-0.11716	0.60422	-0.38587	-0.059065
r952	-0.092194	0.39315	-0.32846	-0.13794
r1135	-0.41645	0.32487	-0.33617	-0.36036
r945	-0.0012852	0.13863	-0.19651	0.0081754
r769	0.3434	0.12415	-0.28733	0.14654
r1122	0.26637	0.73252	-0.67891	0.03533
r939	0.18868	0.70148	-0.51182	0.0055892
r830	-0.39416	-0.020702	-0.066267	-0.44699
r1128	-0.40951	-0.15521	0.060545	-0.088807
r823	-0.4294	-0.14693	0.044265	-0.15605
r1250	-0.77688	0.13036	-0.031137	-0.35389
r1189	-0.83121	0.039307	0.05369	-0.23105
r1196	-0.82053	0.65181	-0.48869	-0.52716
r1257	-0.62043	0.5587	-0.38587	-0.66423
r922	0.4283	-0.94981	-1.0731	0.3211
r1105	-0.1269	-1.1505	-0.95138	0.57843
r1044	-0.014902	-1.0243	-0.94024	0.64955
r1067	0.31803	-0.99326	1.0947	0.88619
r1074	0.37637	-0.82358	0.78543	0.74524
r1013	0.14329	-1.0885	1.0039	0.48791
r891	0.21431	-0.69529	0.87711	0.29653
r1006	-0.17296	-1.1816	1.3818	0.7336
r884	0.030219	-1.0512	1.4024	0.77369
r727	0.37984	0.70975	0.75716	-0.44441
r475	0.3798	0.7098	0.7572	-0.4444
r435	0.3798	0.7098	0.7572	-0.4444
r403	0.3798	0.7098	0.7572	-0.4444
r247	0.3798	0.7098	0.7572	-0.4444
r667	0.5706	-0.024841	1.2421	-0.56208
r690	0.5706	-0.0248	1.2421	-0.5621
r497	0.5706	-0.0248	1.2421	-0.5621
r225	0.5706	-0.0248	1.2421	-0.5621
r169	0.5706	-0.0248	1.2421	-0.5621
r693	0.74054	0.36625	2.1992	0.48403
r1167	0.74067	1.7299	-3.1963	-0.1457
r984	0.75108	1.9161	-3.1098	-0.20518
r801	0.6005	1.9327	-3.2888	-0.32415
r1045	0.88992	2.2638	-3.1046	-0.11855
r931	0.26517	2.4066	-2.8416	-0.59958
r1358	0.066129	2.4914	-2.9401	-0.62156
r1228	0.23874	2.0879	-3.3522	-0.66553
r1289	0.11032	1.9741	-3.3668	-0.65259
r862	0.20216	1.9182	-3.2828	-0.61768
r1106	1.2198	2.0982	-3.1954	0.12843
r1350	1.3183	1.9017	-3.3111	0.065071
r1032	1.5077	1.9596	-3.0584	-0.12243
r923	1.5904	2.2121	-3.1183	-0.11725
r1093	2.0177	1.7982	-2.9581	0.2099
r910	2.031	1.852	-3.0121	0.003003
r930	-0.49241	0.89392	-1.6283	-0.56854
r1113	-1.0555	0.79459	-1.6968	-0.46768
r1052	-0.83535	0.80494	-1.6411	-0.19225
r1000	-0.036127	1.525	-1.4089	-0.76121
r817	0.24394	1.4733	-1.4192	-0.58535
r1366	0.40614	1.3492	-1.4501	-0.55949
r1244	-1.1306	1.8458	-1.3575	-1.3806
r1305	-1.2244	1.7485	-1.4801	-1.4181
r878	-0.56877	1.4174	-1.4252	-1.1246
r1183	-0.7351	1.7361	-1.4938	-1.1582
r993	-0.8734	1.6533	-2.1964	-0.78061
r1115	-0.49948	1.7734	-2.2469	-0.68104
r1054	-0.60254	1.7237	-2.1501	-0.77027
r932	-0.10234	1.8189	-2.2169	-0.56725
r1359	-0.24745	1.9368	-2.4697	-0.80518
r1237	-1.0941	2.3072	-2.5237	-1.4453
r1298	-1.0802	2.1996	-2.5862	-1.2759
r1176	-0.89542	2.0279	-2.3652	-1.2746
r871	-0.95403	1.9824	-2.3163	-1.1957
r810	-0.86339	1.9348	-2.3729	-1.0897
r870	-0.75793	2.5349	-3.0464	-1.2629
r1297	-0.9607	2.6963	-3.1226	-1.3121
r1236	-0.88728	2.808	-3.1432	-1.2035
r992	-0.46651	2.3383	-2.9812	-1.0431
r1175	-0.59587	2.4811	-2.8673	-0.89828
r809	-0.64326	2.4748	-2.9452	-1.0276
r1114	-0.29858	2.4769	-2.9512	-0.66165
r1053	-0.30432	2.6528	-2.7756	-0.65647
r1221	0.30081	0.17381	-1.7542	0.48921
r1282	0.15423	0.11794	-1.6823	0.59524
r855	0.24261	0.57318	-1.9402	0.44007
r794	0.50813	0.47799	-1.9804	0.57714
r977	0.75896	0.29176	-1.6506	0.83834
r1160	0.7049	0.17174	-1.7859	0.36119
r1017	-0.40804	0.54214	-0.52725	0.6586
r895	0.0040545	0.62905	-0.64121	0.75817
r1078	0.12126	0.22347	-0.47327	0.97024
r1086	0.518	0.25865	-0.84085	0.96118
r1025	0.11806	0.39108	-0.98223	0.42843
r903	0.50225	0.65388	-1.1793	0.39998
r1276	0.56232	1.0015	-2.2726	-0.0060486
r1215	0.6005	0.99945	-2.2126	0.097399
r849	0.83625	1.1071	-2.4706	-0.062945
r788	1.0552	1.1857	-2.6411	0.11033
r971	1.3518	1.0595	-2.3437	0.39998
r1154	1.0117	0.9022	-2.3506	0.42714
r1038	1.0194	1.1029	-2.3	0.59395
r916	1.5631	0.89599	-1.9702	0.65472
r1337	1.581	0.86909	-2.3138	0.82412
r1099	1.4378	0.66837	-2.0267	1.0271
r1343	1.3451	0.23589	-1.8785	1.3258
r783	-3.4083	4.8587	-0.76888	-4.8668
r1210	-4.3967	4.9601	-0.64892	-5.4719
r1149	-4.2091	4.7283	-0.49126	-5.2159
r1271	-4.2333	4.9166	-0.49212	-5.3207
r966	-3.8167	5.1401	-0.65063	-5.4306
r844	-3.8826	4.898	-0.92311	-5.0801
r912	-4.2249	6.2699	0.15822	-5.5457
r1095	-4.3667	6.0692	0.57208	-5.4668
r1034	-3.9934	5.8333	0.54723	-4.9379
r1332	-2.8619	4.5193	-0.58123	-4.2629
r1088	-2.9821	4.1986	-0.5898	-3.9642
r905	-2.9146	4.0537	-0.45699	-4.0327
r1027	-2.7264	3.9213	-0.49212	-3.6371
r987	-3.6817	3.2239	-0.69347	-3.4004
r804	-3.6085	3.3253	-0.51954	-3.5737
r1353	-3.3924	3.3564	-0.72004	-3.5233
r865	-4.1409	3.4619	-0.47841	-3.8879
r1170	-3.8552	3.5219	-0.38415	-3.8608
r1292	-3.9698	3.6812	-0.60008	-4.0133
r1231	-4.1244	3.7909	-0.6532	-4.1802
r926	-3.6227	3.9958	-0.35845	-3.9047
r1109	-3.8952	3.8157	-0.31304	-3.8194
r1048	-3.9594	4.0289	-0.35845	-3.8957
r812	-2.1333	1.5685	-0.084261	-1.7453
r1361	-2.1668	1.5933	0.045122	-1.678
r1056	-2.0441	1.2271	0.18564	-1.091
r934	-1.8448	1.254	0.27218	-1.0728
r1117	-1.9389	1.5706	0.045979	-1.122
r1299	-2.3277	1.4381	-0.82114	-1.2862
r872	-2.2173	1.4671	-0.72689	-1.1724
r1177	-2.0754	1.2767	-0.64206	-1.2642
r1238	-2.4458	1.6285	-0.88541	-1.4802
r933	-1.6176	1.0926	-0.35502	-0.59958
r1360	-1.5732	1.0636	-0.71232	-0.8388
r1055	-2.1059	1.1815	-0.53324	-0.82716
r994	-2.1234	1.1815	-0.55552	-0.81165
r811	-2.0659	1.0512	-0.46298	-1.0974
r1116	-1.9881	0.99945	-0.28562	-0.70044
r869	-1.9423	0.3766	-1.2898	-0.82458
r1296	-2.1674	0.12415	-1.0465	-0.86208
r1235	-2.0662	0.16967	-1.0054	-0.82975
r1174	-1.7549	-0.080711	-0.75774	-0.3707
r808	-1.7015	-0.010356	-0.99337	-0.53104
r991	-1.4781	0.14277	-1.1622	-0.48579
r1178	-3.2778	1.8023	0.1805	-2.3931
r1300	-3.7244	1.9037	-0.035421	-2.5095
r1239	-3.551	1.8955	0.1865	-2.4409
r995	-2.3142	2.0838	-0.46813	-1.6767
r873	-2.799	1.9679	-0.42357	-2.1125
r1060	-2.3147	3.6668	-0.6969	-1.2474
r1121	-2.0285	3.8468	-0.63435	-1.175
r938	-2.0529	3.8385	-0.79544	-1.2138
r999	-2.8829	3.8964	-0.1888	-1.1672
r816	-2.588	3.8654	-0.3336	-1.2797
r1365	-2.41	3.7433	-0.40215	-1.2953
r1304	-3.8953	4.0392	-0.3019	-2.1836
r1243	-3.9204	4.0723	-0.23678	-2.1151
r1182	-3.5741	3.944	-0.07912	-2.1203
r877	-3.2854	4.0372	-0.45356	-1.8228
r981	-3.518	2.8763	0.1548	-1.2086
r859	-3.4605	2.6901	0.16165	-1.0224
