UNIQID	CreditScore	Age	Tenure	Balance	NumOfProducts	HasCrCard	IsActiveMember	EstimatedSalary	Geography_Germany	Geography_Spain	Gender_Male
r3092	727.0	31.0	0.0	0.0	1.0	1.0	0.0	121751.04	0.0	1.0	0.0
r4267	596.0	33.0	8.0	0.0	1.0	1.0	0.0	121189.3	0.0	0.0	1.0
r2757	712.0	24.0	2.0	0.0	1.0	0.0	1.0	121232.51	0.0	0.0	1.0
r4528	708.0	34.0	3.0	0.0	1.0	0.0	1.0	121457.88	0.0	0.0	1.0
r1839	600.0	31.0	8.0	0.0	2.0	1.0	1.0	121555.51	0.0	0.0	1.0
r1210	596.0	42.0	7.0	0.0	2.0	1.0	1.0	121568.37	0.0	0.0	1.0
r1235	530.0	29.0	5.0	0.0	2.0	0.0	0.0	121451.21	0.0	0.0	0.0
r396	427.0	37.0	5.0	0.0	2.0	1.0	1.0	121485.1	0.0	0.0	1.0
r3601	791.0	44.0	5.0	0.0	2.0	1.0	1.0	123977.86	0.0	0.0	0.0
r1049	748.0	39.0	3.0	0.0	2.0	1.0	1.0	123998.52	0.0	1.0	1.0
r2316	758.0	34.0	3.0	0.0	2.0	1.0	1.0	124226.16	0.0	0.0	0.0
r934	781.0	19.0	3.0	0.0	2.0	1.0	1.0	124297.32	0.0	0.0	0.0
r1076	777.0	29.0	2.0	0.0	2.0	1.0	0.0	124489.88	0.0	0.0	1.0
r2917	553.0	31.0	6.0	0.0	2.0	0.0	0.0	124596.63	0.0	0.0	1.0
r666	577.0	25.0	3.0	0.0	2.0	0.0	1.0	124508.29	0.0	0.0	1.0
r2546	721.0	40.0	7.0	0.0	2.0	1.0	1.0	122580.48	0.0	0.0	0.0
r2637	641.0	57.0	5.0	0.0	2.0	1.0	1.0	122449.18	0.0	0.0	1.0
r1588	575.0	40.0	5.0	0.0	2.0	1.0	1.0	122488.59	0.0	0.0	1.0
r508	706.0	38.0	1.0	0.0	2.0	1.0	0.0	122379.54	0.0	0.0	1.0
r1314	635.0	33.0	5.0	0.0	2.0	1.0	0.0	122949.71	0.0	0.0	0.0
r1175	648.0	35.0	7.0	0.0	2.0	0.0	0.0	122899.01	0.0	1.0	1.0
r3280	475.0	46.0	10.0	0.0	2.0	0.0	0.0	122953.0	0.0	0.0	0.0
r503	559.0	70.0	9.0	0.0	1.0	1.0	1.0	122996.76	0.0	0.0	0.0
r2715	842.0	29.0	8.0	0.0	2.0	1.0	1.0	123437.05	0.0	0.0	1.0
r4859	773.0	51.0	4.0	0.0	2.0	0.0	0.0	123587.83	0.0	1.0	1.0
r1526	512.0	75.0	2.0	0.0	1.0	1.0	0.0	123304.62	0.0	0.0	0.0
r207	449.0	52.0	6.0	0.0	2.0	0.0	1.0	123622.0	0.0	0.0	1.0
r4157	832.0	61.0	2.0	0.0	1.0	0.0	1.0	127804.66	0.0	0.0	1.0
r3170	724.0	40.0	10.0	0.0	1.0	1.0	0.0	127847.25	0.0	0.0	1.0
r2382	543.0	22.0	8.0	0.0	2.0	0.0	0.0	127587.22	0.0	0.0	1.0
r1221	506.0	37.0	5.0	0.0	2.0	1.0	1.0	127543.81	0.0	0.0	1.0
r3269	556.0	43.0	6.0	0.0	3.0	0.0	0.0	125154.57	0.0	0.0	0.0
r2400	468.0	42.0	5.0	0.0	2.0	1.0	0.0	125305.34	0.0	0.0	0.0
r2132	719.0	54.0	7.0	0.0	2.0	1.0	1.0	125041.52	0.0	0.0	0.0
r2634	678.0	35.0	4.0	0.0	1.0	1.0	0.0	125518.32	0.0	0.0	0.0
r4897	544.0	53.0	9.0	0.0	1.0	1.0	0.0	125692.07	0.0	1.0	0.0
r2640	535.0	45.0	2.0	0.0	2.0	1.0	0.0	125658.28	0.0	0.0	1.0
r1309	611.0	37.0	4.0	0.0	2.0	1.0	0.0	125696.26	0.0	1.0	0.0
r4767	350.0	51.0	10.0	0.0	1.0	1.0	1.0	125823.79	0.0	0.0	1.0
r3851	589.0	45.0	1.0	0.0	1.0	0.0	0.0	125939.22	0.0	1.0	0.0
r3242	568.0	43.0	9.0	0.0	1.0	1.0	0.0	125870.79	0.0	1.0	0.0
r2584	488.0	34.0	3.0	0.0	2.0	1.0	1.0	125979.36	0.0	0.0	1.0
r579	698.0	46.0	0.0	0.0	2.0	1.0	1.0	125962.02	0.0	0.0	0.0
r821	524.0	30.0	1.0	0.0	2.0	1.0	0.0	126812.85	0.0	0.0	1.0
r489	777.0	37.0	1.0	0.0	1.0	1.0	1.0	126837.72	0.0	0.0	1.0
r3810	589.0	59.0	2.0	0.0	2.0	1.0	1.0	126160.24	0.0	0.0	0.0
r4037	821.0	38.0	8.0	0.0	2.0	0.0	1.0	126241.4	0.0	1.0	0.0
r4726	696.0	42.0	4.0	0.0	1.0	0.0	0.0	126353.13	0.0	0.0	1.0
r3719	695.0	50.0	8.0	0.0	1.0	1.0	0.0	126381.6	0.0	0.0	0.0
r2375	713.0	39.0	10.0	0.0	2.0	1.0	1.0	126263.97	0.0	0.0	0.0
r4436	529.0	46.0	8.0	0.0	1.0	0.0	0.0	126511.94	0.0	0.0	1.0
r1545	613.0	32.0	0.0	0.0	2.0	0.0	1.0	126675.62	0.0	1.0	0.0
r1255	652.0	40.0	1.0	0.0	2.0	1.0	0.0	126554.96	0.0	0.0	0.0
r703	639.0	28.0	8.0	0.0	2.0	1.0	0.0	126561.07	0.0	1.0	1.0
r1576	749.0	30.0	1.0	0.0	2.0	0.0	1.0	126551.65	0.0	0.0	1.0
r60	707.0	32.0	9.0	0.0	2.0	1.0	0.0	126475.79	0.0	1.0	1.0
r3831	712.0	52.0	9.0	0.0	1.0	1.0	1.0	117977.45	0.0	1.0	1.0
r3738	750.0	37.0	6.0	0.0	1.0	1.0	1.0	117948.0	0.0	0.0	0.0
r2147	797.0	31.0	8.0	0.0	2.0	1.0	0.0	117916.63	0.0	1.0	0.0
r1918	543.0	23.0	5.0	0.0	2.0	1.0	0.0	117832.39	0.0	1.0	1.0
r2445	635.0	29.0	2.0	0.0	2.0	0.0	0.0	117173.8	0.0	1.0	1.0
r1511	786.0	34.0	9.0	0.0	2.0	1.0	0.0	117034.32	0.0	1.0	0.0
r2256	631.0	33.0	8.0	0.0	2.0	0.0	0.0	117374.22	0.0	0.0	0.0
r1665	736.0	28.0	2.0	0.0	2.0	1.0	1.0	117431.1	0.0	1.0	0.0
r4525	629.0	44.0	5.0	0.0	4.0	0.0	0.0	117572.59	0.0	0.0	1.0
r325	619.0	38.0	6.0	0.0	2.0	1.0	1.0	117616.29	0.0	1.0	0.0
r818	560.0	57.0	0.0	0.0	2.0	0.0	1.0	116781.71	0.0	0.0	1.0
r974	629.0	39.0	5.0	0.0	2.0	0.0	0.0	116748.14	0.0	1.0	1.0
r677	656.0	33.0	4.0	0.0	2.0	1.0	0.0	116706.0	0.0	1.0	1.0
r3064	570.0	58.0	8.0	0.0	1.0	0.0	1.0	116503.92	0.0	0.0	0.0
r323	619.0	38.0	3.0	0.0	2.0	0.0	1.0	116467.35	0.0	0.0	0.0
r2787	850.0	37.0	2.0	0.0	2.0	1.0	0.0	119969.99	0.0	1.0	1.0
r765	575.0	24.0	2.0	0.0	2.0	1.0	1.0	119927.81	0.0	0.0	1.0
r122	562.0	35.0	0.0	0.0	2.0	1.0	0.0	119899.52	0.0	1.0	0.0
r2968	510.0	38.0	4.0	0.0	1.0	1.0	0.0	118913.53	0.0	1.0	0.0
r2179	601.0	35.0	2.0	0.0	2.0	1.0	1.0	118983.18	0.0	0.0	1.0
r3422	798.0	58.0	9.0	0.0	2.0	0.0	0.0	119071.56	0.0	1.0	0.0
r2115	622.0	42.0	9.0	0.0	2.0	1.0	0.0	119127.06	0.0	1.0	1.0
r2748	782.0	35.0	4.0	0.0	1.0	1.0	1.0	119565.34	0.0	0.0	0.0
r2392	717.0	34.0	1.0	0.0	2.0	1.0	0.0	119313.74	0.0	1.0	0.0
r1515	572.0	26.0	5.0	0.0	2.0	1.0	0.0	119381.41	0.0	1.0	0.0
r1176	804.0	55.0	7.0	0.0	2.0	1.0	1.0	118752.6	0.0	0.0	1.0
r322	727.0	52.0	4.0	0.0	2.0	1.0	1.0	118429.02	0.0	0.0	1.0
r49	676.0	61.0	8.0	0.0	2.0	1.0	1.0	118522.73	0.0	0.0	0.0
r3562	513.0	48.0	2.0	0.0	1.0	1.0	1.0	114709.13	0.0	1.0	1.0
r4716	526.0	49.0	2.0	0.0	1.0	1.0	0.0	114539.67	0.0	1.0	1.0
r3576	651.0	56.0	2.0	0.0	1.0	1.0	0.0	114522.68	0.0	0.0	1.0
r2044	760.0	32.0	2.0	0.0	1.0	1.0	1.0	114565.35	0.0	1.0	0.0
r4776	350.0	60.0	3.0	0.0	1.0	0.0	0.0	113796.15	0.0	0.0	0.0
r2940	585.0	33.0	8.0	0.0	2.0	1.0	0.0	114182.07	0.0	1.0	0.0
r2794	607.0	35.0	2.0	0.0	2.0	1.0	1.0	114190.3	0.0	0.0	1.0
r3176	726.0	48.0	4.0	0.0	1.0	1.0	0.0	114020.06	0.0	0.0	0.0
r1778	663.0	34.0	10.0	0.0	1.0	1.0	1.0	114083.73	0.0	0.0	1.0
r435	630.0	34.0	9.0	0.0	2.0	1.0	1.0	114006.35	0.0	0.0	1.0
r2503	479.0	40.0	1.0	0.0	2.0	0.0	0.0	114996.43	0.0	0.0	1.0
r2282	532.0	66.0	3.0	0.0	1.0	1.0	1.0	115227.02	0.0	1.0	0.0
r453	510.0	63.0	8.0	0.0	2.0	1.0	1.0	115291.86	0.0	0.0	1.0
r3142	679.0	43.0	4.0	0.0	3.0	1.0	0.0	115136.51	0.0	0.0	0.0
r370	737.0	33.0	4.0	0.0	2.0	1.0	0.0	115115.32	0.0	0.0	0.0
r3637	659.0	49.0	1.0	0.0	1.0	1.0	0.0	116249.72	0.0	0.0	0.0
r3303	665.0	52.0	3.0	0.0	1.0	1.0	0.0	116137.01	0.0	0.0	1.0
r2635	741.0	29.0	8.0	0.0	2.0	1.0	1.0	115994.52	0.0	0.0	1.0
r4262	511.0	46.0	1.0	0.0	1.0	1.0	1.0	115779.48	0.0	0.0	0.0
r2886	506.0	34.0	7.0	0.0	2.0	0.0	0.0	115842.1	0.0	0.0	1.0
r1826	724.0	41.0	5.0	0.0	1.0	0.0	1.0	115753.94	0.0	1.0	1.0
r573	803.0	33.0	6.0	0.0	2.0	1.0	0.0	115676.61	0.0	0.0	1.0
r50	660.0	42.0	5.0	0.0	2.0	1.0	0.0	115509.59	0.0	1.0	1.0
r4891	567.0	47.0	2.0	0.0	1.0	0.0	0.0	110900.43	0.0	0.0	0.0
r3090	601.0	43.0	8.0	0.0	3.0	0.0	1.0	110916.15	0.0	0.0	0.0
r4357	618.0	42.0	2.0	0.0	4.0	0.0	0.0	111097.39	0.0	0.0	0.0
r2565	562.0	33.0	6.0	0.0	2.0	1.0	0.0	111590.35	0.0	0.0	1.0
r912	836.0	37.0	10.0	0.0	2.0	1.0	0.0	111324.41	0.0	1.0	0.0
r2665	639.0	32.0	9.0	0.0	2.0	1.0	0.0	111340.36	0.0	0.0	1.0
r671	698.0	27.0	7.0	0.0	2.0	1.0	0.0	111471.55	0.0	0.0	1.0
r4811	660.0	43.0	1.0	0.0	1.0	0.0	1.0	112026.1	0.0	0.0	0.0
r2804	673.0	72.0	1.0	0.0	2.0	0.0	1.0	111981.19	0.0	0.0	1.0
r1484	776.0	31.0	2.0	0.0	2.0	1.0	1.0	112349.51	0.0	0.0	0.0
r1548	685.0	23.0	8.0	0.0	2.0	1.0	1.0	112239.03	0.0	0.0	1.0
r2655	710.0	31.0	3.0	0.0	2.0	1.0	1.0	112289.06	0.0	0.0	0.0
r386	705.0	25.0	9.0	0.0	2.0	0.0	1.0	112331.19	0.0	0.0	1.0
r3954	619.0	38.0	1.0	0.0	1.0	1.0	0.0	112442.63	0.0	1.0	0.0
r4837	576.0	40.0	9.0	0.0	2.0	1.0	0.0	112465.19	0.0	0.0	1.0
r2390	575.0	26.0	7.0	0.0	2.0	1.0	0.0	112507.63	0.0	1.0	0.0
r3876	708.0	64.0	5.0	0.0	3.0	0.0	1.0	112520.07	0.0	1.0	0.0
r373	681.0	38.0	3.0	0.0	2.0	1.0	1.0	112491.96	0.0	0.0	1.0
r2449	521.0	41.0	2.0	0.0	2.0	1.0	1.0	113089.43	0.0	0.0	0.0
r4296	743.0	43.0	5.0	0.0	2.0	0.0	0.0	113079.19	0.0	0.0	1.0
r4014	672.0	40.0	3.0	0.0	1.0	1.0	0.0	113171.61	0.0	0.0	0.0
r2314	716.0	41.0	9.0	0.0	1.0	1.0	1.0	113267.48	0.0	0.0	1.0
r4286	692.0	33.0	9.0	0.0	1.0	1.0	0.0	113505.93	0.0	0.0	1.0
r20	627.0	30.0	6.0	0.0	1.0	1.0	1.0	113408.47	0.0	1.0	0.0
r2095	611.0	40.0	1.0	0.0	2.0	1.0	1.0	102547.56	0.0	0.0	1.0
r3833	651.0	44.0	2.0	0.0	3.0	1.0	0.0	102530.35	0.0	0.0	1.0
r1464	637.0	41.0	2.0	0.0	2.0	0.0	1.0	102515.42	0.0	0.0	1.0
r1457	422.0	33.0	2.0	0.0	2.0	1.0	0.0	102655.31	0.0	0.0	0.0
r2573	695.0	39.0	5.0	0.0	2.0	0.0	0.0	102763.69	0.0	1.0	0.0
r1249	571.0	33.0	1.0	0.0	2.0	1.0	0.0	102750.7	0.0	0.0	0.0
r3938	687.0	44.0	9.0	0.0	2.0	0.0	0.0	103042.2	0.0	0.0	0.0
r2000	586.0	42.0	2.0	0.0	1.0	1.0	0.0	102889.34	0.0	1.0	0.0
r1101	667.0	34.0	5.0	0.0	2.0	1.0	1.0	102908.63	0.0	0.0	1.0
r3926	534.0	52.0	1.0	0.0	3.0	1.0	1.0	104035.41	0.0	0.0	1.0
r3921	537.0	59.0	9.0	0.0	2.0	0.0	0.0	103799.77	0.0	0.0	1.0
r1869	558.0	47.0	9.0	0.0	2.0	1.0	0.0	103787.28	0.0	0.0	0.0
r1729	628.0	40.0	10.0	0.0	2.0	1.0	0.0	103832.58	0.0	1.0	1.0
r1347	806.0	67.0	1.0	0.0	2.0	0.0	1.0	103945.58	0.0	0.0	0.0
r2658	580.0	65.0	1.0	0.0	2.0	0.0	1.0	103182.46	0.0	1.0	0.0
r620	594.0	35.0	2.0	0.0	2.0	1.0	0.0	103480.69	0.0	0.0	1.0
r1219	850.0	36.0	10.0	0.0	2.0	1.0	1.0	100750.03	0.0	0.0	0.0
r4046	683.0	30.0	2.0	0.0	2.0	0.0	1.0	100496.84	0.0	0.0	0.0
r3565	603.0	48.0	5.0	0.0	1.0	1.0	0.0	100478.6	0.0	0.0	0.0
r2278	691.0	33.0	6.0	0.0	2.0	1.0	1.0	100408.31	0.0	0.0	0.0
r742	770.0	30.0	8.0	0.0	2.0	1.0	0.0	100557.03	0.0	0.0	0.0
r706	726.0	35.0	9.0	0.0	2.0	0.0	1.0	100556.98	0.0	1.0	0.0
r3911	634.0	45.0	2.0	0.0	4.0	1.0	0.0	101039.53	0.0	0.0	0.0
r2631	592.0	62.0	5.0	0.0	1.0	1.0	1.0	100941.57	0.0	0.0	0.0
r2222	539.0	29.0	4.0	0.0	2.0	1.0	1.0	100919.19	0.0	0.0	0.0
r1456	526.0	30.0	9.0	0.0	2.0	0.0	0.0	100995.68	0.0	0.0	1.0
r3238	598.0	43.0	5.0	0.0	3.0	1.0	1.0	100722.72	0.0	0.0	0.0
r1697	588.0	40.0	5.0	0.0	2.0	0.0	0.0	100727.68	0.0	0.0	1.0
r187	584.0	37.0	8.0	0.0	2.0	0.0	1.0	100835.19	0.0	1.0	0.0
r4858	544.0	26.0	6.0	0.0	1.0	1.0	0.0	100200.4	0.0	0.0	0.0
r1410	643.0	34.0	7.0	0.0	2.0	0.0	1.0	100304.13	0.0	0.0	1.0
r3319	595.0	35.0	8.0	0.0	1.0	1.0	0.0	100015.79	0.0	1.0	1.0
r4799	560.0	49.0	4.0	0.0	1.0	1.0	1.0	100075.1	0.0	0.0	1.0
r2190	668.0	34.0	0.0	0.0	1.0	0.0	0.0	99984.86	0.0	1.0	1.0
r1503	694.0	39.0	9.0	0.0	2.0	0.0	0.0	99924.04	0.0	1.0	0.0
r1114	679.0	39.0	5.0	0.0	2.0	1.0	1.0	100060.54	0.0	1.0	1.0
r1592	547.0	31.0	9.0	0.0	2.0	0.0	0.0	99294.22	0.0	1.0	0.0
r918	531.0	70.0	1.0	0.0	2.0	0.0	0.0	99503.19	0.0	1.0	1.0
r841	695.0	37.0	2.0	0.0	2.0	1.0	1.0	99692.65	0.0	0.0	1.0
r90	716.0	38.0	1.0	0.0	2.0	1.0	1.0	99661.46	0.0	0.0	0.0
r2468	760.0	41.0	6.0	0.0	2.0	0.0	0.0	101491.23	0.0	1.0	0.0
r2963	619.0	42.0	2.0	0.0	1.0	1.0	1.0	101348.88	0.0	0.0	0.0
r1977	663.0	30.0	4.0	0.0	3.0	1.0	0.0	101371.05	0.0	1.0	1.0
r1929	731.0	41.0	3.0	0.0	2.0	1.0	0.0	101371.72	0.0	1.0	1.0
r2474	519.0	42.0	8.0	0.0	2.0	1.0	1.0	101485.72	0.0	0.0	1.0
r1687	521.0	22.0	10.0	0.0	1.0	1.0	1.0	101311.95	0.0	1.0	0.0
r2575	585.0	44.0	4.0	0.0	2.0	0.0	1.0	101728.46	0.0	1.0	0.0
r2657	600.0	32.0	1.0	0.0	1.0	1.0	1.0	101986.16	0.0	0.0	1.0
r856	543.0	42.0	5.0	0.0	2.0	0.0	0.0	101905.34	0.0	0.0	0.0
r1501	642.0	25.0	7.0	0.0	2.0	1.0	0.0	102083.78	0.0	0.0	1.0
r74	671.0	30.0	2.0	0.0	1.0	0.0	1.0	102057.86	0.0	0.0	1.0
r4210	527.0	35.0	8.0	0.0	1.0	1.0	0.0	98031.53	0.0	1.0	0.0
r2895	642.0	36.0	6.0	0.0	2.0	1.0	1.0	97938.59	0.0	1.0	0.0
