CreditScore	Age	Tenure	Balance	NumOfProducts	HasCrCard	IsActiveMember	EstimatedSalary	Geography_Germany	Geography_Spain	Gender_Male
646	43	8	143061.88	1	1	0	61937.6	0	0	0
676	61	8	0.0	2	1	1	118522.73	0	0	0
660	42	5	0.0	2	1	0	115509.59	0	1	1
577	39	4	0.0	2	1	0	91366.42	0	1	0
629	31	6	0.0	2	1	0	93881.75	0	0	1
730	22	9	65763.57	1	1	1	145792.01	0	0	0
681	23	7	157761.56	1	0	0	147759.84	0	0	1
472	31	4	58662.92	2	0	1	73322.0	0	0	1
717	35	4	0.0	1	1	1	167573.06	0	0	1
589	37	5	0.0	1	1	0	61324.87	0	0	1
601	40	10	98627.13	2	0	0	77977.69	0	0	1
775	27	4	0.0	1	1	1	40807.26	0	1	1
707	32	9	0.0	2	1	0	126475.79	0	1	1
535	47	0	160729.1	1	0	1	145986.35	0	0	1
726	44	2	0.0	2	1	1	26733.86	0	0	0
682	26	8	0.0	2	1	0	178373.43	0	0	1
826	55	4	115285.85	1	1	0	140126.17	0	0	1
469	33	1	127818.52	1	1	0	163477.22	0	0	1
648	38	2	0.0	2	0	1	9551.49	0	0	0
590	32	5	0.0	2	1	0	59249.83	0	0	1
571	30	4	85755.86	1	1	0	145115.95	0	0	0
576	36	6	0.0	2	1	1	48314.0	0	0	1
632	50	2	0.0	2	0	0	57942.88	0	0	1
744	38	6	73023.17	2	1	0	78770.86	1	0	1
679	30	1	112543.42	1	1	1	179435.21	0	0	0
493	35	8	178317.6	1	0	0	197428.64	1	0	0
671	30	2	0.0	1	0	1	102057.86	0	0	1
765	37	7	102708.77	1	1	0	9087.81	1	0	1
558	40	6	0.0	2	1	0	173844.89	0	0	1
686	41	10	0.0	1	1	0	133086.45	0	0	0
590	22	7	125265.61	1	1	1	161253.08	0	1	1
617	37	9	101707.8	1	1	0	123866.28	0	1	0
732	36	5	0.0	2	1	0	161428.25	0	0	1
621	35	7	87619.29	1	1	0	143.34	0	0	1
745	47	5	0.0	2	0	0	145789.71	0	0	1
455	43	6	0.0	1	1	1	81250.79	0	1	0
696	32	4	84421.62	1	0	1	52314.71	1	0	1
472	37	1	0.0	2	1	1	48357.9	0	0	0
754	35	4	0.0	2	1	1	9658.41	0	1	1
558	25	10	111363.1	2	1	0	197264.35	1	0	1
687	34	9	125474.44	1	1	0	198929.84	0	0	0
547	35	4	0.0	1	1	1	133287.73	0	0	0
716	38	1	0.0	2	1	1	99661.46	0	0	0
516	46	2	0.0	2	1	1	169122.54	0	0	1
584	33	3	0.0	2	0	1	59103.13	0	0	1
570	46	3	0.0	2	0	0	820.46	0	0	0
553	32	3	116324.53	1	1	0	77304.49	0	0	1
678	49	8	0.0	2	0	1	98090.69	0	1	0
701	21	9	0.0	2	1	1	26327.42	0	1	0
614	51	3	0.0	2	1	1	5552.37	0	0	1
682	48	1	138778.15	1	0	1	168840.23	0	0	1
742	33	0	181656.51	1	1	1	107667.91	1	0	1
464	42	3	85679.25	1	1	1	164104.74	1	0	0
619	33	2	167733.51	2	1	1	65222.48	0	0	0
650	35	3	165982.43	2	1	1	24482.16	1	0	0
727	31	3	82729.47	2	1	0	60212.51	1	0	0
685	33	6	0.0	2	0	1	186785.01	0	0	0
734	37	2	130404.92	1	0	0	34548.74	0	1	0
599	44	10	118577.24	1	1	1	31448.52	0	0	1
754	50	7	146777.44	2	0	1	150685.52	0	1	0
633	61	3	157201.48	1	0	1	50368.63	0	0	1
787	25	5	0.0	2	1	0	47307.9	0	0	1
838	67	4	103267.8	1	1	1	78310.04	0	1	0
639	38	4	81550.94	2	0	1	118974.77	0	0	0
740	33	2	126524.11	1	1	0	136869.31	1	0	1
676	28	1	69459.05	2	1	1	128461.29	1	0	1
741	44	7	0.0	2	1	1	190534.76	0	0	0
665	28	8	191402.82	2	1	0	83238.4	0	0	1
613	47	6	146034.74	1	1	1	77146.14	0	0	1
605	64	2	129555.7	1	1	1	13601.79	0	0	0
615	43	3	86920.86	1	1	1	150048.37	1	0	1
790	42	1	85839.62	1	1	0	198182.73	1	0	1
701	26	5	83600.24	1	0	1	59195.05	0	1	1
646	36	6	124445.52	1	1	0	88481.32	0	0	1
562	35	0	0.0	2	1	0	119899.52	0	1	0
642	26	0	0.0	1	0	0	47472.68	0	0	1
577	41	4	89015.61	1	0	1	135227.23	0	1	1
553	33	4	118082.89	1	0	0	94440.45	0	0	1
610	36	4	129440.3	2	1	0	102638.35	0	0	1
473	35	6	69617.36	1	1	0	143345.69	0	0	0
790	41	2	126619.27	1	1	0	198224.38	0	0	0
738	18	4	0.0	2	1	1	47799.15	0	0	1
588	21	8	0.0	2	1	1	110114.19	0	0	0
823	34	3	105057.33	1	1	0	9217.92	0	0	1
500	47	8	128486.11	1	1	0	179227.12	0	1	0
605	28	6	0.0	2	0	0	159508.52	0	0	0
745	35	9	92566.53	2	1	0	161519.77	0	0	1
457	42	4	126772.57	1	0	1	126106.4	1	0	1
581	41	8	0.0	2	0	0	29737.14	0	0	1
648	33	7	135310.41	2	0	1	171668.2	1	0	1
474	34	9	176311.36	1	1	0	160213.27	1	0	0
411	29	0	59697.17	2	1	1	53483.21	0	0	1
580	32	9	142188.2	2	0	1	128028.6	0	1	1
664	38	4	74306.19	2	1	0	154395.56	0	0	0
571	33	9	0.0	2	0	1	77519.62	0	0	0
605	36	9	0.0	2	0	1	35521.63	0	1	0
668	34	5	80242.37	2	0	0	56780.97	1	0	1
765	34	5	86055.17	2	1	1	104220.5	1	0	1
721	38	7	0.0	1	0	1	53534.8	0	1	1
612	41	5	0.0	3	0	0	151256.22	0	0	1
845	43	3	152063.59	2	1	0	97910.06	1	0	0
543	36	3	0.0	2	0	0	26019.59	0	0	0
530	36	7	0.0	2	1	0	80619.09	0	1	0
678	40	4	113794.22	1	1	0	16618.76	0	1	0
753	35	4	0.0	2	1	1	106303.4	0	0	1
725	45	1	129855.32	1	0	0	24218.65	0	0	1
605	52	1	63349.75	1	1	0	108887.44	0	0	1
696	30	4	114027.7	1	1	1	193716.56	1	0	1
577	26	1	180530.51	1	0	0	123454.62	0	0	0
628	32	9	149136.31	2	1	1	16402.11	0	0	1
647	32	5	97041.16	1	1	1	23132.73	0	0	1
551	49	1	150777.72	2	1	1	135757.27	0	1	1
598	39	5	0.0	2	1	1	83103.46	0	1	0
581	34	1	0.0	2	0	1	81175.25	0	1	1
758	32	2	84378.9	1	1	1	75396.43	0	0	0
652	74	5	0.0	2	1	1	937.15	0	0	0
601	44	3	0.0	2	1	0	30607.11	0	0	1
686	41	7	102749.72	1	0	1	194913.86	0	1	1
698	39	9	133191.19	2	0	1	53289.49	1	0	1
674	38	10	83727.68	1	1	0	45418.12	1	0	0
520	35	4	115680.81	1	1	1	90280.7	0	1	0
613	37	3	171653.17	1	0	1	5353.12	0	1	1
713	42	3	0.0	2	0	0	82565.01	0	0	0
502	40	7	117304.29	1	0	0	196278.32	1	0	0
728	32	5	61825.5	1	1	1	156124.93	1	0	1
850	38	7	115378.94	1	0	1	162087.82	0	1	1
615	19	5	0.0	2	1	0	159920.92	0	1	1
672	53	7	0.0	1	1	1	136910.18	0	0	0
685	40	7	74896.92	1	1	0	198694.2	0	1	1
496	32	4	127845.83	1	1	0	66469.2	0	0	1
583	27	4	105907.42	2	1	1	195732.04	1	0	1
704	38	6	106687.76	1	1	0	173776.5	0	1	1
660	36	0	84438.57	1	1	1	181449.51	0	1	0
592	66	5	149950.19	1	1	1	76267.59	0	0	0
565	32	4	90322.99	2	0	1	118740.37	1	0	0
705	39	5	149379.66	2	1	0	96075.55	0	0	0
770	24	9	101827.07	1	1	0	167256.35	0	0	1
694	34	5	127900.03	1	1	0	101737.8	0	0	1
615	29	7	143330.56	2	1	1	126396.01	0	1	0
584	37	8	0.0	2	0	1	100835.19	0	1	0
716	44	1	0.0	1	1	1	152108.47	0	0	0
824	30	0	133634.02	1	1	1	162053.92	0	0	1
628	38	3	0.0	2	1	1	48924.73	0	0	0
707	35	2	0.0	3	1	1	94148.3	0	0	1
584	37	1	0.0	2	1	1	180363.56	0	0	0
652	26	1	131908.35	1	1	1	179269.79	1	0	0
743	73	6	0.0	2	0	1	107867.38	0	0	0
666	30	7	109805.3	1	0	1	163625.56	0	0	1
767	33	1	144753.21	1	1	1	132480.75	1	0	0
654	29	4	96974.97	1	0	1	141404.07	0	0	0
701	42	6	86167.82	1	1	0	153342.38	0	0	0
700	44	2	58781.76	1	1	0	16874.92	0	0	0
513	40	3	141004.46	1	1	0	105028.46	0	0	1
627	41	3	0.0	2	1	0	132719.8	0	0	1
507	35	1	0.0	2	0	0	92131.54	0	0	0
575	57	8	137936.94	1	1	1	84475.13	0	0	0
580	45	2	179334.83	2	1	1	169303.65	1	0	1
529	30	2	116295.29	1	1	0	75285.47	0	0	1
636	35	9	95478.17	1	0	0	169286.74	0	0	1
449	52	6	0.0	2	0	1	123622.0	0	0	1
625	52	2	79468.96	1	1	1	84606.03	0	0	0
677	41	8	146720.98	2	1	1	4195.84	1	0	0
655	47	10	0.0	2	1	0	167778.62	0	0	0
603	39	9	76769.68	1	0	0	48224.72	0	0	0
738	36	5	0.0	2	1	1	96881.32	0	1	1
735	50	2	0.0	2	0	1	147075.69	0	0	1
551	36	5	0.0	1	1	0	183479.12	0	0	0
645	28	7	117466.03	2	1	1	34490.06	1	0	1
682	24	9	57929.81	2	0	0	53134.3	1	0	1
675	69	1	0.0	2	1	0	157097.09	0	0	1
636	34	8	0.0	2	1	0	38570.13	0	0	1
632	35	2	150561.03	2	0	0	64722.61	1	0	0
596	47	5	140187.1	2	1	1	174311.3	1	0	1
567	41	1	0.0	2	1	0	3414.72	0	1	0
559	25	5	0.0	2	1	1	163221.22	0	1	1
774	36	9	130809.77	1	1	0	152290.28	1	0	1
776	37	2	103769.22	2	1	0	194099.12	1	0	0
617	35	5	0.0	2	0	1	13066.3	0	0	0
636	39	3	118336.14	1	1	0	184691.77	0	0	0
484	34	4	148249.54	1	0	1	33738.27	1	0	0
704	35	3	154206.07	2	1	1	40261.49	1	0	0
675	40	7	113208.86	2	1	0	34577.36	0	0	1
551	26	2	144258.52	1	1	0	49778.79	0	0	0
487	53	10	89550.85	1	0	1	90076.85	0	0	0
578	38	7	82259.29	1	1	0	8996.97	0	0	1
770	46	9	190678.02	1	1	1	14725.36	0	1	1
527	58	3	137318.42	1	1	1	126144.96	1	0	1
553	35	2	158584.28	2	1	0	43640.16	1	0	1
700	38	8	134811.3	1	1	0	1299.75	0	0	1
750	38	7	97257.41	2	0	1	179883.04	0	1	0
725	32	0	0.0	2	1	1	138525.19	0	1	0
604	41	3	0.0	1	0	0	11819.84	0	1	1
558	41	2	124227.14	1	1	1	111184.67	1	0	1
663	28	8	123674.28	2	1	1	87985.2	1	0	1
743	23	3	110203.77	1	1	0	95583.45	0	0	1
832	34	6	138190.13	2	0	1	146511.2	0	1	0
591	39	4	150500.64	1	1	0	14928.8	0	0	0
724	30	7	115315.04	1	1	0	15216.53	1	0	1
835	18	2	142872.36	1	1	1	117632.63	1	0	1
777	46	0	107362.8	1	1	0	487.3	1	0	0
828	34	8	129433.34	2	0	0	38131.77	0	0	1
577	36	3	121092.47	2	0	1	143783.46	0	0	1
637	35	8	147127.81	2	1	1	84760.7	1	0	1
566	21	3	0.0	2	1	1	3626.47	0	0	0
553	41	1	0.0	2	1	0	90607.31	0	0	1
626	37	6	108269.37	1	1	0	5597.94	0	1	0
816	25	2	150355.35	2	1	1	35770.84	1	0	0
639	46	10	110031.09	2	1	1	133995.59	1	0	0
652	32	2	0.0	2	1	0	54628.11	0	0	0
690	48	2	0.0	2	1	1	3149.1	0	1	0
686	29	3	185379.02	1	1	0	64679.07	1	0	1
691	38	5	114753.76	1	1	0	107665.02	1	0	0
718	49	10	82321.88	1	0	1	11144.4	0	1	0
751	44	10	0.0	2	1	0	170634.49	0	0	0
429	24	4	95741.75	1	1	0	46170.75	0	0	1
608	33	1	102772.67	2	1	0	70705.58	1	0	1
784	28	2	109960.06	2	1	1	170829.87	1	0	1
615	39	4	133707.09	1	1	1	108152.75	0	0	1
743	25	6	0.0	2	1	0	129740.11	0	1	1
633	34	3	123034.43	2	1	1	38315.04	0	0	0
700	38	9	65962.63	1	1	1	100950.48	0	0	1
584	35	3	146311.58	1	1	1	105443.47	0	0	1
608	37	2	130461.02	1	1	0	21967.15	0	1	1
593	38	4	129499.42	1	1	1	154071.27	1	0	0
707	40	3	109628.44	1	1	0	189366.03	1	0	0
715	28	7	160376.61	1	0	0	196853.11	0	0	1
584	32	8	40172.91	1	1	1	137439.34	1	0	1
611	40	2	125879.29	1	1	0	93203.43	0	0	0
657	38	7	0.0	2	1	0	185827.74	0	0	1
432	38	2	135559.8	2	1	1	71856.3	1	0	1
603	38	8	59360.77	1	1	1	191457.06	0	0	1
501	57	10	0.0	2	1	1	47847.19	0	0	1
544	23	1	96471.2	1	1	0	35550.97	0	0	1
660	38	6	109869.32	1	1	1	154641.91	0	1	1
645	38	5	101430.3	2	0	1	4400.32	0	0	0
738	35	6	101744.84	1	0	0	85185.44	1	0	1
583	24	9	135125.28	1	0	0	89801.9	0	0	1
503	42	9	153279.39	1	1	1	151336.96	1	0	1
703	43	8	0.0	2	1	0	9704.66	0	0	1
752	38	10	101648.5	2	1	0	172001.44	1	0	0
732	67	1	0.0	2	1	1	177783.04	0	1	0
425	39	4	0.0	2	1	0	197226.32	0	0	1
837	38	2	0.0	2	1	1	46395.21	0	0	0
787	42	10	145988.65	2	1	1	79510.37	0	0	0
647	33	3	168560.46	2	0	0	90270.16	1	0	0
690	26	3	118097.87	1	1	0	61257.83	0	0	0
594	31	9	0.0	1	0	1	5719.11	0	0	0
595	43	5	0.0	2	0	0	105149.8	0	1	0
651	28	7	0.0	2	1	0	823.96	0	0	1
575	31	6	0.0	2	1	1	95686.42	0	1	0
509	38	2	0.0	1	0	0	168460.12	0	1	1
682	47	10	134032.01	1	1	0	144290.97	0	1	0
727	28	5	0.0	2	0	1	19653.08	0	0	1
637	22	5	98800.0	1	1	0	122865.55	0	1	0
719	32	7	0.0	1	0	0	76264.27	0	1	0
639	54	2	0.0	2	1	1	53843.71	0	1	0
684	35	3	99967.76	1	1	1	176882.08	1	0	1
466	29	6	0.0	2	1	1	2797.27	0	0	1
762	69	9	183744.98	1	1	1	196993.69	0	1	0
622	33	3	96926.12	2	1	0	48553.77	1	0	1
557	33	3	54503.55	1	1	1	371.05	0	0	1
586	33	7	0.0	2	1	1	168261.4	0	1	0
802	33	8	0.0	2	1	0	143706.18	0	0	1
850	33	7	118004.26	1	1	0	183983.82	0	0	0
568	51	4	0.0	3	1	1	66586.56	0	0	1
651	35	2	86911.8	1	1	0	174094.24	0	0	1
717	38	7	0.0	2	1	1	158580.05	0	0	1
605	43	8	125338.8	2	1	0	23970.13	1	0	0
706	34	8	0.0	2	1	1	37479.97	0	0	1
658	28	9	152812.58	1	1	0	166682.57	1	0	0
605	62	4	111065.93	2	0	1	125660.99	0	0	0
497	37	8	128650.11	2	1	1	163641.53	0	1	1
792	42	0	99045.93	2	1	0	47160.01	0	0	0
705	92	1	126076.24	2	1	1	34436.83	0	0	1
727	52	4	0.0	2	1	1	118429.02	0	0	1
619	38	3	0.0	2	0	1	116467.35	0	0	0
544	39	4	142406.43	2	1	0	146637.45	1	0	1
619	38	6	0.0	2	1	1	117616.29	0	1	0
594	36	6	153880.15	1	0	0	135431.72	0	0	1
594	50	7	81310.34	1	1	1	183868.01	0	0	1
520	63	5	162278.32	1	1	1	34765.33	0	1	0
788	70	1	0.0	2	1	1	41610.62	0	1	0
541	51	7	90373.28	2	1	0	179861.79	1	0	1
661	41	5	122552.48	2	0	1	120646.4	1	0	1
697	43	10	128226.37	1	0	0	188486.94	0	1	1
834	49	8	160602.25	2	1	0	129273.94	0	0	0
647	41	1	85906.65	3	1	0	189159.97	1	0	0
550	44	9	0.0	2	1	0	26257.01	0	0	1
584	36	9	0.0	1	1	1	105818.51	0	0	1
812	24	10	0.0	2	1	1	156906.15	0	0	1
588	41	6	106116.56	2	1	0	198766.61	1	0	1
850	32	4	156001.68	2	1	1	151677.31	0	0	1
636	34	1	84055.43	1	0	0	37490.84	0	0	1
558	40	4	161766.87	1	0	0	92378.54	0	1	1
598	47	2	0.0	2	1	1	186116.54	0	0	1
741	32	8	0.0	2	1	0	143598.7	0	0	1
850	42	3	0.0	2	1	1	176883.42	0	0	0
563	30	7	90727.79	1	1	0	122268.75	0	0	1
627	37	2	125190.86	1	0	1	84584.69	0	0	1
838	39	5	166733.92	2	1	0	14279.44	0	1	0
645	38	1	68079.8	1	0	1	166264.89	0	1	1
733	38	5	0.0	2	1	1	1271.51	0	1	0
696	27	4	87637.26	2	0	0	196111.35	0	0	1
670	42	3	81589.04	1	1	0	188227.8	0	1	1
599	25	6	120383.41	1	1	1	24903.09	0	0	1
619	58	5	152199.33	1	1	1	86022.09	0	0	1
701	34	3	105588.66	1	0	1	74694.41	0	0	0
501	25	6	104013.79	1	1	0	114774.35	1	0	1
647	43	3	122717.53	2	1	1	87000.39	1	0	0
477	39	4	182491.57	1	1	0	185830.72	1	0	0
656	37	2	0.0	2	0	1	67840.81	0	0	1
724	30	10	0.0	2	1	1	54265.55	0	0	1
679	38	7	110555.37	2	1	0	46522.68	1	0	1
757	31	8	149085.9	2	1	1	197077.36	1	0	1
814	48	9	136596.85	1	1	1	185791.9	0	0	1
524	22	9	0.0	2	1	0	74405.34	0	0	1
583	39	8	102945.01	1	0	0	52861.89	1	0	1
850	30	8	154870.28	1	1	1	54191.38	1	0	0
652	40	8	84390.8	2	0	1	107876.2	0	0	0
732	36	7	126195.81	1	1	1	133172.48	0	0	1
733	44	6	168165.84	1	0	1	197193.49	0	0	0
710	28	6	0.0	1	1	0	48426.98	0	1	0
737	33	4	0.0	2	1	0	115115.32	0	0	0
572	37	1	133043.66	1	0	0	111243.09	0	0	1
761	32	4	103515.39	2	1	1	177622.38	0	1	0
681	38	3	0.0	2	1	1	112491.96	0	0	1
584	32	9	85534.83	1	0	0	169137.24	0	1	1
461	74	1	186445.31	2	1	1	196767.83	1	0	0
681	65	7	134714.7	2	0	1	190419.81	0	1	1
769	31	6	117852.26	2	1	0	147668.64	0	0	0
642	39	4	0.0	1	1	1	76821.24	0	0	0
654	42	7	99263.09	1	1	1	67607.9	0	0	1
556	61	2	117419.35	1	1	1	94153.83	0	0	0
482	55	5	97318.25	1	0	1	78416.14	0	0	1
726	28	2	0.0	1	0	0	98060.51	0	0	1
683	24	8	98567.1	1	1	0	187987.01	0	1	0
686	22	8	0.0	2	0	0	142331.85	0	1	1
624	40	3	149961.99	2	1	0	104610.86	1	0	0
705	25	9	0.0	2	0	1	112331.19	0	0	1
606	46	8	0.0	2	1	1	183717.94	0	1	0
412	29	5	0.0	2	0	0	12510.53	0	0	1
670	33	6	88294.6	1	1	0	66979.06	0	0	1
678	32	9	0.0	1	1	1	148210.64	0	0	0
554	44	6	92436.86	1	1	0	126033.9	0	0	0
707	73	6	66573.17	1	1	1	62768.8	0	0	1
556	39	9	89588.35	1	1	1	94898.1	0	0	0
678	28	5	138668.18	1	1	1	54144.01	0	1	1
627	31	8	128131.73	1	1	0	96131.47	0	0	1
427	37	5	0.0	2	1	1	121485.1	0	0	1
711	26	9	128793.63	1	1	0	19262.05	1	0	1
808	47	8	139196.0	1	0	1	74028.36	0	1	1
602	23	7	113758.48	2	0	0	84077.6	0	0	1
617	30	8	0.0	1	1	1	92621.9	0	0	0
696	31	8	0.0	2	0	0	191074.11	0	0	0
542	33	8	142871.27	2	0	0	77737.86	1	0	1
811	28	4	167738.82	2	1	1	9903.42	1	0	0
768	42	5	0.0	3	0	0	60686.4	0	0	1
620	40	5	108197.11	2	1	0	49722.34	1	0	1
748	23	8	85600.08	1	0	0	134077.71	0	1	0
593	26	9	76226.9	1	1	0	167564.82	0	1	1
651	32	8	144581.96	1	1	1	87609.5	0	0	0
664	31	9	114519.57	2	0	1	79222.02	0	0	0
452	32	5	0.0	2	0	1	75279.39	0	0	0
691	38	1	0.0	2	0	0	44653.5	0	0	1
709	36	0	0.0	2	1	0	46811.77	0	0	1
675	57	8	0.0	2	0	1	95463.29	0	0	0
540	28	6	84121.04	1	0	1	80698.54	0	1	0
706	35	8	178032.53	1	0	1	42181.68	0	0	0
677	26	6	98723.67	1	0	1	151146.67	1	0	0
797	46	8	0.0	1	0	0	162668.33	0	0	0
732	43	9	0.0	2	1	0	183147.17	0	0	0
725	46	6	0.0	2	1	0	161767.38	0	0	1
501	34	7	93244.42	1	0	1	199805.63	1	0	0
606	38	7	128578.52	1	1	1	193878.51	0	1	1
660	28	1	118402.25	2	1	0	14288.93	1	0	1
607	39	2	84468.67	2	1	1	121945.42	1	0	1
413	34	9	0.0	2	0	0	6534.18	0	0	1
730	37	5	124053.03	1	1	0	118591.67	1	0	0
618	31	4	0.0	2	1	0	29176.04	0	0	0
648	31	5	0.0	2	1	1	5199.02	0	1	0
752	49	2	78653.84	1	1	0	7698.6	0	0	1
537	47	10	0.0	2	0	1	25482.62	0	0	1
814	49	8	0.0	2	0	0	157822.54	0	0	1
707	36	6	0.0	1	0	0	98810.78	0	0	0
567	43	2	115643.58	2	0	0	174606.35	0	1	1
530	33	9	75242.28	1	0	1	101694.67	1	0	1
665	38	9	0.0	1	0	1	87412.74	0	1	1
630	34	9	0.0	2	1	1	114006.35	0	0	1
578	32	4	0.0	2	1	1	141822.8	0	0	1
753	39	7	155062.8	1	1	1	16460.77	0	0	0
662	34	2	117731.79	2	0	1	55120.79	0	0	1
489	28	1	79460.98	2	1	1	167973.63	1	0	1
622	35	5	0.0	2	1	0	51112.8	0	0	0
659	37	1	151105.68	1	1	1	140934.57	0	0	0
470	30	3	101140.76	1	1	1	50906.65	0	0	1
731	41	4	0.0	2	1	0	22299.27	0	1	1
680	31	3	127331.46	3	1	1	176433.6	1	0	0
652	35	7	104015.54	2	1	1	55207.88	1	0	1
709	38	5	0.0	2	1	1	81452.29	0	0	1
687	34	7	111388.18	2	1	0	148564.76	1	0	0
551	31	1	0.0	2	1	1	185105.44	0	0	1
478	43	1	0.0	2	1	1	197916.43	0	1	1
712	33	2	182888.08	1	1	0	3061.0	0	0	1
711	35	2	133607.75	1	1	1	120586.32	1	0	0
599	34	2	101506.66	1	0	0	198030.24	0	1	1
510	63	8	0.0	2	1	1	115291.86	0	0	1
695	23	1	0.0	2	1	1	141756.32	0	0	0
598	23	6	0.0	2	1	0	153229.19	0	1	0
617	35	2	104508.1	1	1	1	147636.46	0	0	0
609	40	6	0.0	2	1	1	97416.34	0	0	1
543	71	1	104308.77	1	1	1	25650.04	0	0	0
764	41	7	0.0	2	0	0	134878.34	0	0	1
588	32	1	0.0	2	1	1	8763.87	0	0	1
616	45	4	122793.96	1	1	1	62002.04	1	0	0
850	31	4	0.0	2	1	1	33082.81	0	0	0
744	56	9	0.0	2	1	1	169498.61	0	0	1
820	33	2	132150.26	2	1	0	23067.97	0	0	1
699	32	4	110559.46	1	1	1	127429.56	0	0	0
798	29	8	80204.11	2	1	0	70223.22	1	0	0
511	58	0	149117.31	1	1	1	162599.51	0	0	1
745	46	2	122220.19	1	1	1	118024.1	0	0	1
673	69	3	78833.15	2	1	1	37196.15	1	0	0
608	28	4	96679.71	1	1	1	49133.45	1	0	1
581	30	1	0.0	2	1	0	199464.08	0	0	1
681	38	6	181804.34	2	1	1	57517.71	1	0	1
572	26	4	118287.01	2	0	0	60427.3	1	0	1
625	37	4	142711.81	1	1	0	35625.41	1	0	0
682	36	5	72373.62	2	1	0	36895.99	1	0	1
630	26	7	0.0	2	1	1	6656.64	0	1	1
669	43	1	160474.59	1	1	1	95963.14	0	0	0
585	40	3	162261.01	2	1	0	137028.51	1	0	0
805	37	5	0.0	2	1	0	21928.81	0	1	1
739	60	4	0.0	1	1	1	51637.67	0	1	1
590	40	2	117641.43	2	0	0	92198.05	1	0	0
517	39	3	0.0	2	0	1	12465.51	0	1	1
601	54	1	131039.97	2	1	1	199661.5	1	0	0
718	28	6	0.0	2	1	0	146875.86	0	1	1
516	35	10	57369.61	1	1	1	101699.77	0	0	1
818	36	4	0.0	2	1	1	8037.03	0	0	1
660	30	1	84440.1	2	1	1	60485.98	1	0	1
512	31	6	0.0	2	1	0	168462.26	0	1	1
777	37	1	0.0	1	1	1	126837.72	0	0	1
451	36	2	0.0	2	1	1	180142.42	0	0	0
696	33	4	0.0	2	1	1	73371.65	0	0	0
607	31	8	0.0	2	1	1	43196.5	0	0	1
568	28	1	127289.28	1	0	0	45611.51	0	1	1
850	44	3	140393.65	2	0	1	186285.52	1	0	1
626	36	2	181671.16	2	1	1	57531.14	1	0	1
562	31	9	117153.0	1	1	1	108675.01	1	0	0
668	39	4	79896.0	1	1	0	38466.39	1	0	1
773	64	2	145578.28	1	0	1	186172.85	0	0	1
683	41	6	95696.52	2	1	1	184366.14	0	0	1
544	40	7	0.0	1	0	1	161076.92	0	0	0
