id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1919541,Share House 'Miraie' @JR Osaki (Special discuont),9951050,Li Hsuan,,Shinagawa Ku,35.61794,139.72313,Private room,,28,243,2024-10-09,1.80,4,156,6,M130001466
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,,Setagaya Ku,35.63858,139.64624,Entire home/apt,42829,1,136,2024-11-09,1.04,1,316,13,M130000611
2080626,*Smal BdRm in Shared house with Queen bed. NO AC!,9203725,DeepTokyo,,Ota Ku,35.58862,139.72755,Private room,16000,3,66,2024-11-17,0.51,6,150,10,M130032025
2129325,*Traditional Tea Room in large shared house 1F,9203725,DeepTokyo,,Shinagawa Ku,35.60856717380348,139.73377635413345,Private room,18571,3,28,2024-10-14,0.21,6,65,20,M130032025
2129455,*Ryokan Tatami Rm with balcony in shared house 2F,9203725,DeepTokyo,,Shinagawa Ku,35.60698,139.73474,Private room,,3,19,2024-12-03,0.14,6,67,13,M130032025
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,,Shibuya Ku,35.67191,139.68367,Private room,39000,2,171,2024-06-15,1.31,1,292,4,M130000961
2491507,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No5 シェアルーム,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,6751,2,101,2024-12-05,0.77,11,128,12,M130002186
2602722,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No2 ドミトリールーム,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,6751,2,193,2024-12-24,1.47,11,123,18,M130002186
2803972,11mins to Fussa station by train and 6mins walk!,13465066,Tomoyuki&Maki,,Akishima Shi,35.70561,139.37975,Entire home/apt,,3,42,2024-09-18,0.36,2,0,6,M130000081
2839061,"#1 Discover local life, culture & People/Work desk",4839990,Toshiyuki,,Bunkyo Ku,35.72035,139.76445,Private room,14955,4,123,2024-12-14,1.06,2,65,16,M130016568
2867835,Cozy Apartment 2 Min Walk from Takenotsuka,9360394,Vann Amor,,Adachi Ku,35.79124,139.79102,Entire home/apt,14577,4,12,2024-04-24,0.10,4,82,2,M130004932
2883497,東京下町生活,6969809,Kota,,Taito Ku,35.72208,139.78049,Entire home/apt,27457,1,322,2024-11-29,2.51,1,80,33,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第79号
2883753,Cozy 2-Min Walk to Takenotsuka – Explore Tokyo,9360394,Vann Amor,,Adachi Ku,35.791368746081226,139.79204721255772,Entire home/apt,14577,4,7,2024-12-07,0.09,4,83,2,M130004931
2883869,Charming Studio Near Takenotsuka Station,9360394,Vann Amor,,Adachi Ku,35.79166,139.79285,Entire home/apt,7735,7,12,2024-11-25,0.10,4,81,5,M130004934
3085134,"""HirooHouse""3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.65174,139.72175,Entire home/apt,57429,5,162,2024-11-17,1.26,2,219,19,M130003771
3235958,Enjoy Simple Life in Tokyo (1),16241464,Kaori,,Itabashi Ku,35.78156,139.63309,Entire home/apt,8300,1,123,2024-12-21,0.99,2,115,12,M130000056
3339222,Enjoy Simple Life in Tokyo (2),16241464,Kaori,,Itabashi Ku,35.77932,139.63338,Entire home/apt,8300,1,78,2024-11-28,0.69,2,81,13,M130000055
3364169,Asakusa friendly family type apt,16973429,Hirano San,,Taito Ku,35.7223,139.80049,Entire home/apt,13729,5,156,2024-12-18,1.23,2,263,15,M130000147
3372902,アジアンミックステイストの癒される空間,17018818,Miri,,Meguro Ku,35.61728,139.6679,Entire home/apt,7800,2,156,2024-07-24,1.23,1,15,9,M540000008
3389878,*Cozy Petit Single Rm w Balcony in Shared Mansion,9203725,DeepTokyo,,Shinagawa Ku,35.60689,139.73412,Private room,13857,3,22,2024-11-10,0.18,6,67,17,M130032025
3409030,Shinjuku abode: Discount applied on long term stay,17190614,Shu,,Shinjuku Ku,35.6989,139.69824,Entire home/apt,,30,157,2022-12-04,1.23,1,0,0,M130000855
3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Masakatsu,,Edogawa Ku,35.68374,139.85971,Entire home/apt,10049,2,161,2024-12-29,1.28,2,143,40,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
3514008,誠道館 303／静かで出入り自由な完全個室（専用バス・トイレ）,17694529,Hisao,,Arakawa Ku,35.72672,139.78201,Entire home/apt,2900,1,349,2024-12-20,2.86,8,7,63,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ第１3号
3563698,"Clean and comfortable apartment in Machida, Tokyo",11583876,Ken,,Machida Shi,35.58911,139.48023,Entire home/apt,6200,5,132,2024-11-28,1.04,3,243,8,M130000249
3572139,Modern Japanese house w/ garden,15514130,Tomo,,Toshima Ku,35.72784292965493,139.73408415595273,Entire home/apt,42943,3,236,2024-11-24,2.07,1,284,23,M130001001
3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,13018876,Masakatsu,,Edogawa Ku,35.68358,139.85985,Entire home/apt,10049,2,126,2024-12-25,1.06,2,176,40,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
3657357,2 TINY Apartments - 1 Listing Central Tokyo Nakano,4847803,Best Stay In Tokyo!,,Nakano Ku,35.70861,139.68637,Entire home/apt,39249,5,60,2024-12-26,0.48,8,265,10,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第92号
3689244,"Shiya-ku, near by Shinjuku 2DK / MDS2BR",18776800,近藤,,Shibuya Ku,35.67205,139.67877,Entire home/apt,34000,3,48,2024-12-16,0.39,20,170,15,M130003456
3744742,"(3) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,,Kita Ku,35.76108,139.71599,Entire home/apt,12593,3,236,2024-10-13,1.90,9,338,10,M130035124
3775528,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,,Setagaya Ku,35.62942,139.63077,Private room,16691,1,100,2024-12-03,0.80,1,288,11,M130001108
3793206,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室10F B,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70432,Private room,11086,2,243,2024-12-25,1.93,11,85,12,M130002186
3793412,＊新宿・大久保徒歩圏内＊コンビニ徒歩1分＊屋上から夜景ビュー 個室 JUST2B,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,8591,2,73,2024-07-25,0.58,11,85,2,M130002186
3814258,apartment hotel TASU TOCO,19611972,岩間,,Suginami Ku,35.70293,139.60045,Entire home/apt,8229,3,234,2024-12-28,1.88,4,144,28,Hotels and Inns Business Act | 杉並区杉並保健所 | 22　杉並第　37960　号
3838856,SHINJUKU ★Designer Pencil House★ Airport Transfer,4626879,Tracey,,Shibuya Ku,35.68245,139.69009,Entire home/apt,54000,1,236,2024-12-12,1.89,7,39,15,M130018884
3845889,COZY LOFT bedroom,19089769,Manami,,Suginami Ku,35.70679,139.6551,Entire home/apt,11714,4,98,2024-12-12,0.92,2,102,7,M130000777
3846001,COZY COMFY apartment,19089769,Manami,,Suginami Ku,35.70686575604375,139.6554380782686,Entire home/apt,12000,4,151,2024-11-29,1.21,2,136,18,M130008732
3871442,Nishi-Ogikubo 1BR Roomy  2F,18776800,近藤,,Suginami Ku,35.70399,139.59775,Entire home/apt,20000,3,36,2020-02-02,0.29,20,124,0,M130002734
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.64966,139.72181,Entire home/apt,50000,5,155,2024-11-24,1.24,2,184,12,M130003789
3920124,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,,Higashimurayama Shi,35.76577,139.44678,Entire home/apt,55265,3,134,2024-11-03,1.14,3,359,1,M130000495
3956263,TINY Home in Shibuya Close to Shinjuku,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67813,139.67913,Entire home/apt,34512,5,179,2024-12-15,1.44,8,235,40,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋建生収第７７０号
4026948,Near Shinagawa Shibuya Haneda,20878710,Daisuke,,Shinagawa Ku,35.60033,139.73415,Private room,8457,3,148,2024-11-02,1.19,1,107,16,M130000543
4047596,Enjoy Central Tokyo Yamanote Life 2BR Condo,6504053,Bryan,,Shinagawa Ku,35.62633,139.7235,Entire home/apt,40000,7,259,2024-12-26,2.07,2,171,31,Hotels and Inns Business Act | 品川区保健所 | 5品保生環き第2号
4050925,Airport transfer service&Asakusa traditional house,21004633,Yoshi,,Taito Ku,35.71431,139.79885,Entire home/apt,71429,2,639,2024-12-27,5.12,6,85,74,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第122号
4141228,#211 Private Cozy Apt. in Tokyo,17736560,タツロウ (Taturo),,Nakano Ku,35.73417,139.63328,Entire home/apt,11053,3,90,2024-12-01,0.76,11,78,4,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
4222643,Decoboco hanare,21769906,Decoboco,,Koto Ku,35.6806,139.81931,Entire home/apt,7971,2,341,2024-12-16,2.74,3,16,15,M130015171
4360718,"(2) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,,Kita Ku,35.76108,139.71599,Entire home/apt,12271,1,233,2024-12-13,1.90,9,262,14,M130035123
4388283,Sunny room in residential area in 国分寺 1st Floor,10969488,Como,,Kokubunji Shi,35.70919,139.48074,Private room,5436,2,67,2023-08-31,0.55,4,160,0,M130002755
4396219,Nishi-Ogikubo 1BR Twin Type-B 2F,18776800,近藤,,Suginami Ku,35.70399,139.59775,Entire home/apt,19500,3,59,2024-08-31,0.48,20,182,11,M130002742
4396221,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,18776800,近藤,,Suginami Ku,35.70399,139.59775,Entire home/apt,23500,3,42,2024-11-22,0.35,20,153,14,M130002749
4471640,"Rm1 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",22643572,Sachiko,,Higashimurayama Shi,35.75828,139.48037,Private room,5500,14,17,2024-10-28,0.14,3,99,4,M130000063
4477690,Experience Japan in a Japanese House in Shinjuku!,2610437,Parissa,,Shinjuku Ku,35.70077,139.7221,Entire home/apt,27973,5,27,2024-12-23,0.22,1,277,2,M130044648
4495014,"(6) JR Station 8 mins Walk, Shinjuku 11 mins Train",19152993,Sei,,Kita Ku,35.76108,139.71599,Entire home/apt,13600,3,231,2024-11-23,1.90,9,273,15,M130033311
4540924,"2persons Hino room #2, Shinjuku28min Shibuya38min",23416902,Naga,,Hino Shi,35.685214489929706,139.39478936735702,Entire home/apt,11323,4,48,2024-12-03,0.39,2,349,8,M130008297
4606903,Reversible Destiny Lofts—Mitaka / for 2people,23871736,Matsuda,,Mitaka Shi,35.680981,139.538055,Private room,30000,3,49,2024-10-28,0.47,2,116,16,M130004784
4616579,Furnished Private Apt.213,17736560,タツロウ (Taturo),,Nakano Ku,35.73414,139.63305,Entire home/apt,12406,3,91,2024-11-25,0.76,11,86,8,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
4673248,Reversible Destiny Lofts—Mitaka / for 4people,23871736,Matsuda,,Mitaka Shi,35.680981,139.538055,Entire home/apt,35000,3,69,2024-11-23,0.58,2,89,24,M130004785
4690684,"Rm2 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",22643572,Sachiko,,Higashimurayama Shi,35.75851,139.47982,Private room,5775,10,5,2024-03-30,0.04,3,139,2,M130000063
4691157,"Rm3 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama",22643572,Sachiko,,Higashimurayama Shi,35.75619,139.48071,Private room,4800,14,28,2024-12-06,0.36,3,160,5,M130000063
4750169,4persons! Shinjuku30min Tokyo45min!,23416902,Naga,,Hino Shi,35.68548,139.39496,Entire home/apt,9051,3,51,2024-12-16,0.43,2,350,7,M130008296
4813245,*Tokyo House group&family upto5 FastWIFI,9782688,Kevin,,Toshima Ku,35.73055,139.68657,Entire home/apt,38415,3,149,2023-10-29,1.24,4,246,0,M130006713
4817291,56㎡ Let's go to Asakusa & Akihabara,23595333,Keiko,,Taito Ku,35.72804,139.79048,Entire home/apt,18357,3,363,2024-12-27,3.03,2,221,56,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第219号
4825779,#1/18.36㎡/Japanese Modern Apt 2 Stops to Shinjuku,24812892,Mao,,Shibuya Ku,35.67744,139.68058,Entire home/apt,15429,1,337,2024-12-16,2.77,1,34,37,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3946号
4842239,"Access into center  Tokyo,for economize travelers",24087904,Rinrin,,Bunkyo Ku,35.72761,139.76383,Entire home/apt,5500,1,205,2024-11-10,1.68,1,144,24,M130037058
4926426,#203  shibya/shinjuku 幡ヶ谷駅近  2023/12 リニューアルオープン！,25370510,Mitsuko,,Shibuya Ku,35.67933,139.67511,Entire home/apt,13000,2,266,2024-12-11,2.26,7,97,27,M130002430
5034900,Sophiearth Apartment in Shinjuku (A3-D1),25865449,Seungkwan,,Shinjuku Ku,35.69974,139.70424,Entire home/apt,,1,38,2019-04-19,0.31,10,358,0,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5070495,Private Cozy Apt. 111 in Tokyo,17736560,タツロウ (Taturo),,Nakano Ku,35.73496,139.63132,Entire home/apt,12520,3,90,2024-12-01,0.75,11,89,4,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5080877,Decoboco,21769906,Decoboco,,Koto Ku,35.68162,139.81859,Entire home/apt,13500,1,275,2024-12-07,2.28,3,57,41,Hotels and Inns Business Act | 江東区保健所 | 5江健生環へ第５４１号
5128293,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No3 ドミトリールーム,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70276,Shared room,6751,2,185,2024-09-24,1.53,11,109,20,M130002186
5198467,Wonderful Japanese style OTOME! (*´ω｀),25911199,Tomoya,,Bunkyo Ku,35.72129,139.76323,Entire home/apt,,3,64,2024-12-04,0.53,1,357,7,M130017222
5217466,#411 Private Cozy Apt. in Tokyo,17736560,タツロウ (Taturo),,Nakano Ku,35.73404,139.63128,Entire home/apt,12632,3,114,2024-11-18,0.95,11,81,9,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5231172,"#2 Workdesk/Discover local life, culture & People",4839990,Toshiyuki,,Bunkyo Ku,35.72257,139.76271,Private room,16715,4,22,2024-12-22,0.19,2,27,5,M130016568
5262640,Private Cozy Apt in Tokyo 413,17736560,タツロウ (Taturo),,Nakano Ku,35.73445,139.63139,Entire home/apt,11053,3,69,2024-11-24,0.58,11,79,8,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5262658,Private Cozy Apt in Tokyo 311,17736560,タツロウ (Taturo),,Nerima Ku,35.73588,139.63159,Entire home/apt,12632,3,143,2024-12-08,1.19,11,86,9,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5407938,Heart of Shinjuku/Free Pocket Wifi/Homey^^,28035085,Koichi,,Shinjuku Ku,35.69346,139.70823,Entire home/apt,,2,284,2021-04-11,2.39,2,0,0,M130004171
5410242,Steve's International Guest Place,28045851,Steve,,Suginami Ku,35.70055,139.60022,Entire home/apt,10263,4,63,2023-11-29,0.58,1,58,0,M130000018
5464293,Finest Cafe/Bar/Hotel 3F in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,,Suginami Ku,35.70459,139.63712,Entire home/apt,13714,2,174,2024-12-10,1.46,5,350,18,Hotels and Inns Business Act | 杉並区杉並保健所 | 31杉保衛環第50号
5464305,Finest Cafe/Bar/Hotel 2F in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,,Suginami Ku,35.71263,139.63439,Entire home/apt,10714,2,175,2024-11-24,1.48,5,317,13,Hotels and Inns Business Act | 東京都杉並区保健所 | 31杉保衛環第50号
5516726,Mt. Fuji & Skytree view from the rooftop.,24781998,Airin,,Nakano Ku,35.72182,139.64125,Private room,17429,1,28,2024-12-08,0.24,1,85,5,M130000774
5564391,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,28837813,Insta-Homes,,Nerima Ku,35.73172,139.66583,Private room,4543,1,207,2020-04-27,2.05,3,0,0,M130000891
5585604,Sophiearth Annex with Two Bed Room,25865449,Seungkwan,,Shinjuku Ku,35.70041,139.70621,Private room,,3,14,2019-10-22,0.12,10,0,0,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5633430,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19,17736560,タツロウ (Taturo),,Nerima Ku,35.7359,139.63151,Entire home/apt,14211,3,56,2024-12-05,0.47,11,83,8,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5641920,#312 Furnished Private Apt.,17736560,タツロウ (Taturo),,Nakano Ku,35.7348,139.63141,Entire home/apt,14211,3,38,2024-11-28,0.32,11,87,8,Hotels and Inns Business Act | 中野区保健所 |  30中環生環第52号
5643408,Sophiearth  Apartment in Shinkjuku (A4-D1),25865449,Seungkwan,,Shinjuku Ku,35.69955,139.70423,Entire home/apt,,3,21,2024-11-26,0.18,10,353,4,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5661072,Okubo #807 Shinjuku Hyakunincho 3mins  JR station,21504159,Michi,,Shinjuku Ku,35.70035,139.6967,Entire home/apt,26571,2,155,2024-01-17,1.30,22,86,1,M130004190
5673677,羽根木の森の部屋,15282125,Kanako,,Setagaya Ku,35.66432,139.65839,Private room,18000,5,76,2024-10-08,0.67,2,221,4,M130008796
5738050,Enjoy local life in Tokyo,29758027,Chieko,,Ota Ku,35.56976,139.69158,Entire home/apt,7000,3,177,2024-10-03,1.49,1,79,11,Special Economic Zoning Act | 30健生発第10252号
5815506,東京根津ステンドグラス美術館＆ゲストハウス（Since 2019),18289292,武男,,Bunkyo Ku,35.71934,139.76508,Private room,7800,3,75,2024-12-15,1.10,1,160,21,M130006097
5876019,"Residential area, Peaceful Traditional House 1",20307199,Hotaka,,Higashimurayama Shi,35.76544,139.44477,Private room,7714,3,89,2024-12-16,0.76,3,350,13,M130000492
5932309,"Japanese cosy vintage house, easy access in Tokyo",30745996,Chie,,Kita Ku,35.74408,139.72525,Entire home/apt,8857,2,291,2024-12-27,2.47,1,78,48,Hotels and Inns Business Act | 東京都北区保健所 | 5北健生環き第9号
5936568,"Private apartment in Tokyo machida, 17m2",22038803,Suda,,Machida Shi,35.56134,139.46284,Entire home/apt,,3,73,2024-12-09,0.62,1,233,7,M130000362
5947917,奥浅草隠れ家・1階の1LDK｜家族や小グループに最適｜広々4名宿泊｜BUS有｜スーパー近有｜長期滞在,30879374,雅泰,,Taito Ku,35.720383726628555,139.80487268418074,Entire home/apt,13293,2,12,2024-11-20,0.76,12,111,7,Hotels and Inns Business Act | 東京都台東区台東保健所 | 5台台健生環き第10035号
5963368,Near池袋-Trad. JP. villa w/ free wifi,29681737,文娟,,Nerima Ku,35.7646,139.66835,Private room,9371,1,44,2024-04-02,0.38,5,289,2,M130001805
5979941,"7min to Station, Japanese style room, Free WiFi",30840659,Guesthouse,,Katsushika Ku,35.76776,139.86466,Private room,10343,2,42,2024-02-16,0.36,4,78,2,Hotels and Inns Business Act | 東京都葛飾区保健所 | 26葛保生第3209号
6050643,"Residential area, Peaceful Traditional House 3",20307199,Hotaka,,Higashimurayama Shi,35.76676,139.44505,Entire home/apt,30000,3,72,2024-11-05,0.61,3,362,8,M130000493
6164909,Room203 Ikebukuro is 5 min by train,24219962,Hiroya,,Kita Ku,35.75788,139.72151,Private room,7000,5,85,2024-11-29,0.72,3,11,10,M130001128
6308465,"60㎡,5beds,3mins to Shibuya Sta",32815136,Ayako,,Meguro Ku,35.64284,139.70001,Entire home/apt,40143,2,221,2024-12-23,2.02,4,171,36,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第78号
6365363,SHITAMACHI BASE/Quiet new apt.room101/skytree view,33170407,Hiroyoshi,,Sumida Ku,35.71865,139.81069,Entire home/apt,15714,1,78,2024-12-07,0.68,12,30,22,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
6374299,AM 50m2 13min-Shinjuku/ 19min-Shibuya,30314225,Ryo & Yuri,,Toshima Ku,35.730572,139.7298174,Entire home/apt,18286,3,138,2024-12-04,1.18,7,59,26,M130004767
6380625,Sunny House in a Leafy Street,33088758,Nayu,,Suginami Ku,35.67951,139.64878,Entire home/apt,39543,3,170,2024-12-01,1.46,1,282,10,M130001866
6439108,Daisuke's Luxury Shimokita Apt #2,10705201,Daisuke,,Setagaya Ku,35.66106,139.66859,Entire home/apt,16757,2,288,2024-12-22,2.47,3,316,46,Hotels and Inns Business Act | 東京都世田谷保健所 | 30世保生環き第339号
6505073,(4)高速Wifi完備・新宿へ電車11分・JR十条駅徒歩8分（JR埼京線で池袋5分・渋谷19分),19152993,Sei,,Kita Ku,35.76108,139.71599,Entire home/apt,13600,3,256,2024-12-11,2.22,9,96,15,M130033310
6562355,Middle of Shinjuku and Kamakura,2008948,Miharu,,Machida Shi,35.55057,139.45385,Private room,6316,1,48,2024-12-27,0.45,1,140,5,M130001828
6592213,Thailand house(Japanese-style room),34475322,Masaru,,Machida Shi,35.5866232162352,139.485919120729,Private room,4714,1,195,2024-12-23,1.69,3,36,34,M130000049
6613961,Room205 Ikebukuro is 5 min by train,24219962,Hiroya,,Kita Ku,35.75787,139.72153,Private room,8800,3,57,2024-11-22,0.49,3,16,9,M130001128
6646878,near shibuya quiet residential area,34561184,Toshiro & Tanya,,Setagaya Ku,35.65191,139.66968,Private room,10837,1,102,2024-07-05,0.88,7,233,4,M130000233
6648293,"High speed internet ,8min walk from JR Osaki",5749679,Sayoko,,Shinagawa Ku,35.61486,139.726,Private room,7383,2,356,2024-12-20,3.07,2,100,38,Hotels and Inns Business Act | 品川区保健所 | 30品保生環き第51号
6719865,Yanesen  Traditional Nagaya house,11025259,Takamitsu,,Taito Ku,35.72024,139.76607,Entire home/apt,25264,3,154,2024-12-08,1.34,2,248,4,M130000440
6749824,羽田、成田から一時間の便利な立地です。,35340956,Yoshio,,Taito Ku,35.7242,139.77766,Private room,5500,2,165,2024-11-09,1.56,2,104,26,M130000164
6768640,SHITAMACHI BASE/Quiet new apt.room102/skytree view,33170407,Hiroyoshi,,Sumida Ku,35.71818,139.81237,Entire home/apt,15714,1,64,2024-12-16,0.56,12,0,18,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
6785470,DOMUS MUSASHINO -Sakura View-,35525878,Kanako,,Kodaira Shi,35.72576,139.50954,Entire home/apt,,5,59,2020-03-31,0.52,1,0,0,M130000194
6800607,#313 Private Cozy Apt. in Tokyo,17736560,タツロウ (Taturo),,Nerima Ku,35.73624,139.63247,Entire home/apt,11053,1,49,2024-11-25,0.42,11,80,4,Hotels and Inns Business Act | 中野区保健所 |  30中環生環第52号
6803014,"Minato-ku, Tokyo, Nature-Rich-Designer""Tiny"" House",35614067,Kan,,Minato Ku,35.63612,139.72575,Entire home/apt,47143,3,198,2024-12-19,1.72,1,254,24,M130002333
