id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1980573,✼Studio w/Balcony@Taipei 101/ 5 min XinyiAnhe MRT✼,10221270,Donna Ngai Yao,,大安區,25.032166792826644,121.55338573471856,Entire home/apt,3586,14,107,2024-10-19,0.80,4,239,4,
2075962,Tonghua Studio B near MRT & Taipei 101,339014,Lisa,,大安區,25.0287746,121.55468591047,Entire home/apt,1116,30,12,2024-01-23,0.12,5,307,1,
2084454,T11-9 Central Taipe Long Stay優雅 舒適,3097566,Great,,大安區,25.04477,121.54371,Private room,886,30,3,2023-06-30,0.02,3,364,0,
2114695,T203-East-C Taipei Long Stay優雅舒適經濟,3097566,Great,,信義區,25.03594,121.57846,Private room,886,28,2,2014-02-17,0.01,3,365,0,
2183521,MRT/Loft/Taipei101/XimendingMRT10mins/4room4bath,10900462,Sarah,,中山區,25.05619,121.54344,Entire home/apt,7866,2,244,2024-12-24,1.84,6,15,9,
2257263,MRT/Loft/Taipei101/XimendingMRT10mins/4room4bath,10900462,Sarah,,中山區,25.05605,121.54333,Entire home/apt,7866,2,27,2024-04-28,0.21,6,14,2,
2257570,MRT/Loft/Taipei101/XimendingMRT10mins/4room4bath,10900462,Sarah,,中山區,25.05625,121.54356,Entire home/apt,7866,2,27,2023-12-10,0.21,6,0,0,
2365294,a Good Day,11892349,Yayoi,,大安區,25.02408,121.52896,Private room,809,4,30,2020-01-03,0.23,1,213,0,
2429479,Deluxe Xīnhài MRT apartment for 2-4,8478209,Eric,,文山區,25.00726,121.55892,Private room,11143,3,0,,,15,365,0,
2432966,"[Ximending] Ximening "" ~ about 3 minutes walk",7295452,Derek,,萬華區,25.043127059936523,121.50550079345703,Entire home/apt,5643,2,199,2024-12-23,1.57,1,80,25,
2498582,Banana Co-Living Dongmen - Sunny Single Room (201),3958878,Banana Co-Living,,大安區,25.03297,121.5282,Private room,650,30,21,2016-12-30,0.16,4,342,0,
2498747,Banana Coliving Dongmen - Single Room (302),3958878,Banana Co-Living,,大安區,25.0339,121.5265,Private room,500,30,5,2015-10-04,0.04,4,357,0,
2498893,Banana Co-living Dongmen - Female Dorm (303),3958878,Banana Co-Living,,大安區,25.0344,121.52626,Shared room,300,30,15,2016-07-18,0.11,4,365,0,
2553760,"MRT  5Mins, King Size Bed / 捷運 士林夜市",13075769,Rose,,士林區,25.09648,121.52403,Private room,1222,5,101,2019-12-31,0.77,3,176,0,
2632210,"3 rooms APT with lift in CBD, 2 mins to MRT",10007698,Kiki,,松山區,25.05152,121.5441,Entire home/apt,5906,4,132,2024-12-23,1.01,18,64,1,
2637590,A-B5《月租》《可短租》中山捷運站-雙人套房(含獨立衛浴),906344,Lily,,中山區,25.05264,121.52123,Entire home/apt,1502,3,134,2024-12-15,1.02,23,160,20,
2678719,"TMP Co-Living,long term+monthly rental+Not daily",1597675,The Meeting Place,,南港區,25.05141,121.58158,Shared room,343,30,2,2024-05-12,0.02,1,172,1,
2753686,Sunlight Corner Loft 2 BR Near MRT,9018856,Vivian,,大安區,25.0286,121.54749,Entire home/apt,4516,28,188,2024-10-22,1.47,2,211,2,
2969214,New 1F Vintag Xīnhài MRT apartment,8478209,Eric,,文山區,25.00622,121.55911,Entire home/apt,17143,3,1,2015-04-29,0.01,15,365,0,
3028074,"Luxury Apt near Raohe Mkt, MRT & Train Stn & TP101",14475460,Rebecca,,松山區,25.04946,121.5765,Entire home/apt,2351,21,281,2024-12-26,2.21,4,186,7,
3062366,W HOUSE,7767966,Kai Muo,,松山區,25.05974,121.54491,Entire home/apt,8000,3,83,2024-11-09,0.65,1,271,6,
3070785,（月租再享早鳥優惠）西門町-五星好評-月租套房- 302（拎包入住，獨立套房，月租5折優惠）,5745433,茱莉Julie 姐,,萬華區,25.0440857,121.5028873,Private room,1570,3,15,2024-11-17,0.61,6,87,5,
3106555,Daan Park Vs Nordic style Individual Suite,12341333,Wonda,,大安區,25.02654,121.53376,Entire home/apt,1980,6,198,2024-12-18,1.54,2,260,18,
3186548,台北大安區 捷運國父紀念館站7分鐘  近101 信義商圈 五分埔 商務 獨立家庭房,5247611,Fiona,,大安區,25.03484,121.55672,Entire home/apt,1871,3,74,2024-12-28,0.59,4,363,14,
3214180,"2 min to MRT, 4B2b Shopping/Restaurant District",1398361,Second,,大安區,25.0411,121.55374,Entire home/apt,13288,1,166,2024-12-11,1.30,11,229,27,
3304239,Joy's Apt 一廳一衛浴、near night market、Songshan station,943278,Joy,,松山區,25.0499,121.57453,Entire home/apt,1623,45,56,2024-08-31,0.44,1,246,1,
3399891,"Monthly Apartment at (MTC) NTNU, Taipei",17148416,Philips,,大安區,25.02643,121.5286,Entire home/apt,33000,31,13,2024-10-15,0.11,10,150,3,
3485675,捷運大套房-Taipei MRT Cozy stay,11416408,Helen,,信義區,25.03824,121.58231,Private room,1772,2,23,2024-12-09,0.18,1,333,21,
3499060,NEAR 101 & MRT Miffy for 2-4 men,8478209,Eric,,信義區,25.04123,121.56736,Private room,10800,3,3,2019-01-01,0.03,15,91,0,
3840606,Double room N1@MRT Center Station(LINE 1 & LINE 3),10007698,Kiki,,中山區,25.05031,121.54305,Entire home/apt,2367,4,203,2024-12-06,1.63,18,77,22,
3879242,Uruztopia201 @ Shilin Aegean Decor 500m to MRT,14665606,Alan,,士林區,25.09349,121.52388,Entire home/apt,1957,2,135,2024-12-18,1.62,4,209,24,
3908056,﻿﻿捷運忠孝復興站出口走路不到5分鐘獨立商務套房,5247611,Fiona,,大安區,25.02763,121.53874,Entire home/apt,1500,3,81,2020-09-30,0.70,4,245,0,
3919250,"面積140平方米近台北車站,大坪數,附廚房可煮,有浴缸,2房,迪化街商圈 MRT步行約5-10分鐘",20302753,Sammy,,大同區,25.05371,121.51119,Entire home/apt,2650,30,9,2024-12-18,0.09,1,121,5,
3933100,"~綠意小屋~在西門町熱鬧街道,提供了旅人休憩的重要據點。月租59308",22105084,Lyna,,萬華區,25.04242,121.50237,Entire home/apt,,28,65,2017-02-01,0.52,3,178,0,
3975942,Monthly Shida - MTC - NTU - NTNU,17148416,Philips,,大安區,25.02248,121.5285,Entire home/apt,22857,31,5,2024-09-22,0.08,10,205,3,
4014018,A-Luxury One-A best location東區豪華套房A,19549739,Mike,,大安區,25.0407,121.55377,Entire home/apt,1666,5,147,2024-12-07,1.18,3,281,19,
4014179,"Luxury Studio near Taipei 101,MRT_8",20812835,Luxury Flat Team,,信義區,25.02952,121.55843,Entire home/apt,3500,6,5,2016-10-30,0.04,7,73,0,
4018116,A-Luxury One-B best location東區豪華套房B,19549739,Mike,,大安區,25.04161,121.55479,Entire home/apt,1654,5,155,2024-12-10,1.24,3,330,19,
4035563,這個世界很大，能遇到是緣分！天母2人私人房間。（只接受旅者）,20923484,家哲,,士林區,25.12178,121.53437,Private room,800,2,215,2024-09-23,1.72,1,51,7,
4054999,A-Luxury One-C best location東區豪華套房C,19549739,Mike,,大安區,25.04167,121.55207,Entire home/apt,1666,5,102,2024-12-02,0.82,3,335,15,
4106145,"中山國中捷運站,全新套房,一張大床(one double bed)",21301096,Sung,,中山區,25.06146,121.54366,Entire home/apt,1687,7,13,2017-06-10,0.10,8,333,0,
4106431,中山國中捷運站/松山機場旁/兩張單床(two single beds),21301096,Sung,,中山區,25.05984,121.54377,Entire home/apt,1687,7,8,2017-06-26,0.06,8,333,0,
4118004,W Hotel 精品奢華信義計畫區  時尚住宅,20401045,Bo,,信義區,25.04081,121.56658,Entire home/apt,,4,0,,,1,180,0,
4148503,Shida Rd Ｈigh Function＆Comfort,19568984,Esther,,大安區,25.023682061454213,121.5262933781118,Entire home/apt,1574,3,121,2024-12-15,0.97,5,320,12,
4158999,(Ximending)Mr. Doggy,19843186,萊,,萬華區,25.0418,121.50569,Entire home/apt,3786,3,288,2024-12-16,2.32,13,156,26,
4266942,"天光雲彩 淡淡風輕 （獨立套房,無需與人共同衛浴)",22150553,Chen,,文山區,24.98796,121.56417,Private room,1376,30,76,2024-10-12,0.65,5,263,1,
4267155,華麗的冒險從這裡開始（獨立套房，無需與人共同衛浴）,22150553,Chen,,文山區,24.98823,121.57064,Private room,1286,60,107,2021-12-11,0.87,5,152,0,
4279943,說走就走的旅行 (獨立套房，無需與人共同衛浴）,22150553,Chen,,文山區,24.98941,121.56599,Private room,1418,30,139,2024-10-15,1.14,5,221,2,
4317397,"Luxury Studio,24hrs security,near Taipei 101,MRT_3",20812835,Luxury Flat Team,,信義區,25.03161,121.55804,Entire home/apt,2986,7,9,2024-05-21,0.08,7,79,1,
4318191,"Luxury Studio,24hrs security,near Taipei 101,MRT_7",20812835,Luxury Flat Team,,信義區,25.03121,121.55817,Entire home/apt,3500,29,1,2014-12-15,0.01,7,169,0,
4372441,~幸福小豪宅~ 歡迎國內外商務人士，家族旅遊，提供短期月租113510,22105084,Lyna,,萬華區,25.03753,121.49889,Entire home/apt,,28,83,2018-01-12,0.67,3,166,0,
4401076,BP Taipei MRT Apartment 3-2,7747610,Mimas,,中山區,25.05703,121.52275,Entire home/apt,2137,2,21,2024-11-20,0.20,1,327,6,
4408487,Wō @ Taipei 西門MRT (3-4人房) Free Wifi,20965710,NiNi,,萬華區,25.04257,121.50387,Entire home/apt,3651,3,368,2024-12-27,2.98,11,144,55,
4467294,10 Beds Mixed Dorm - Shared Bathroom,9175578,Vicky,,南港區,25.05407,121.60966,Shared room,840,1,26,2024-11-29,0.28,1,95,7,
4468613,Lady's only sofa and JP tatami,22965537,Laura,,文山區,24.992,121.56243,Shared room,1557,2,6,2024-01-01,0.05,1,69,1,
4495681,全新套房/中山國中捷運/一張大床(one double bed),21301096,Sung,,中山區,25.06172,121.54372,Private room,1687,7,8,2015-07-06,0.07,8,333,0,
4495844,MRT Apartment松山機場旁/飯店式套房/兩張單床(two single beds),21301096,Sung,,中山區,25.06122,121.54294,Entire home/apt,1687,7,17,2017-06-18,0.14,8,333,0,
4507773,Near to MRT about 5mins walk/一張大床(one double bed),21301096,Sung,,中山區,25.06184,121.54295,Entire home/apt,1687,14,6,2017-04-29,0.05,8,333,0,
4520900,Foreign sweet home,12991185,Yu-Liang,,南港區,25.06029,121.61343,Entire home/apt,3800,3,38,2024-01-01,0.31,1,35,1,
4541617,Deluxe MRT apartment roof garden,8478209,Eric,,文山區,25.00583,121.55907,Entire home/apt,8671,3,3,2018-12-26,0.04,15,91,0,
4561084,near MRT 捷運 飯店式套房/兩張單床(two single beds),21301096,Sung,,中山區,25.06174,121.54354,Private room,1687,7,4,2015-06-21,0.03,8,333,0,
4568861,原木品味酒店式公寓台北車站捷運共構,8847227,Koma,,中正區,25.04454,121.5163,Entire home/apt,1575,10,311,2024-10-28,2.52,3,163,11,
4607827,市府捷運站Metro Taipei CityHall bunk bed,19235741,Sher,,信義區,25.04162,121.56478,Private room,234869,30,4,2015-04-29,0.03,3,365,0,
4624658,Private studio w/ bath@ Da-an/XinYi,23952771,Eva,,信義區,25.02137,121.55793,Private room,834,2,96,2024-11-25,0.79,3,303,14,
4630004,cozy/兩張單床(two single beds),21301096,Sung,,松山區,25.06209,121.54687,Entire home/apt,1687,7,20,2023-10-25,0.17,8,333,0,
4702288,"Taipei Studio near Taipei 101,MRT_6",20812835,Luxury Flat Team,,信義區,25.03184,121.55827,Entire home/apt,3500,29,3,2015-07-19,0.03,7,90,0,
4702374,全新套房/松山機場/中山國中捷運站/一張大床(one double bed),21301096,Sung,,中山區,25.06165,121.54352,Private room,1687,7,12,2016-12-02,0.10,8,333,0,
4738149,市府捷運站Metro TaipeiCityHall Bunk bed,19235741,Sher,,信義區,25.04402,121.56333,Private room,328095,30,0,,,3,365,0,
4749034,Near NTU & MRT Jingmei historical building,8478209,Eric,,文山區,24.98954,121.54164,Entire home/apt,17143,3,25,2019-12-22,0.21,15,83,0,
4777225,舒適便捷的林蔭大道,24637260,Shih-Chieh,,中正區,25.03721,121.52759,Entire home/apt,1100,30,153,2024-07-08,1.27,3,358,2,
4844292,Independent and private ROOM,24926339,Lirong,,內湖區,25.07851,121.59599,Entire home/apt,1231,10,81,2024-12-21,0.68,1,108,5,
4845099,Rainbow Valley American House at Yangmingshan,9675875,Lucy,,士林區,25.13933,121.5446,Entire home/apt,24357,1,10,2024-11-17,0.08,8,364,1,
4848637,DAAN PARK-2 bunk bed private room,14971125,Daan Park,,中正區,25.03428,121.53096,Private room,694,1,17,2023-09-13,0.14,12,0,0,
4848935,"海婆婆TPEshort rental,Xihu MRT,2 bed B",4377110,Alice,,內湖區,25.08349,121.56491,Private room,2006,7,4,2020-01-02,0.03,9,362,0,
4851830,西門町的小角落,9678816,Renny,,萬華區,25.04197,121.50574,Entire home/apt,1305,2,429,2024-12-14,3.53,6,121,48,
4863470,大安公園旅店 - 4人景觀套房,14971125,Daan Park,,中正區,25.03379,121.53199,Private room,,1,22,2023-09-24,0.18,12,0,0,
4890403,2 Bunk Beds Private Room for Max 4 people,14971125,Daan Park,,中正區,25.03379,121.53199,Private room,,1,15,2023-08-11,0.12,12,0,0,
4892246,大安公園旅店 - 單人房,14971125,Daan Park,,中正區,25.03379,121.53199,Private room,,1,26,2024-06-20,0.21,12,0,2,
4894283,大安公園旅店 - Double bed private room with window,14971125,Daan Park,,中正區,25.03379,121.53199,Private room,,1,5,2018-01-04,0.04,12,0,0,
4900301,"J52  Room with balcony, 5 min to MRT stop",10007698,Kiki,,中山區,25.05874,121.53407,Hotel room,1969,2,173,2024-11-28,1.42,18,56,9,
4912003,DAAN PARK Hotel - 3 bunk bed private room,14971125,Daan Park,,中正區,25.03379,121.53199,Private room,,1,14,2023-06-01,0.12,12,0,0,
4934107,Cozy apartment near MRT night market w/balcony,24847626,蕙如,,中山區,25.06515,121.52331,Private room,,2,9,2024-06-03,0.07,13,0,1,
4938261,Near MRT night market high floor w/balcony,24847626,蕙如,,中山區,25.06513,121.5234,Private room,,365,8,2024-11-25,0.07,13,1,1,
4944433,"Family apartment, near MRT night market w/kitchen",24847626,蕙如,,中山區,25.06515,121.52331,Private room,,2,44,2018-04-05,0.36,13,0,0,
4944559,Near MRT night market high floor w/balcony,24847626,蕙如,,中山區,25.06513,121.52329,Private room,,365,36,2024-09-27,0.35,13,0,4,
4951590,"月租方案Near Taipei 101  modern  house,世貿展覽館@信義誠品@微風南山",25523787,New Apt,,信義區,25.03289,121.56319,Entire home/apt,3229,14,104,2024-05-20,0.86,26,212,4,
4969123,"3-floor townhouse in great location, near subway",9545735,Roel & Olivia,,士林區,25.09789,121.52909,Entire home/apt,3248,12,6,2015-08-15,0.05,1,213,0,
4984328,台北車站正對面-3-6人房（台北車站Z2出口步行10秒）,22516319,Sean  翔,,中正區,25.04514,121.51502,Entire home/apt,2829,1,239,2020-01-10,1.97,11,160,0,
4989673,A-B6《月租》《可短租》中山捷運站-雙人套房(含獨立衛浴),906344,Lily,,中山區,25.05266,121.52123,Entire home/apt,1502,3,54,2024-12-16,0.46,23,170,12,
5001526,Taipei APT01. MRT. Big Bathroom. Mountain View,25788750,Hua,,文山區,24.99998,121.56952,Entire home/apt,2297,5,282,2024-12-10,2.33,2,108,23,
5078278,Spacious Suite Eastvillage 180m2apt,25246943,Laurent,,大安區,25.03603,121.54622,Private room,1851,7,85,2022-06-21,0.71,5,356,0,
5081030,台北車站正對面-海洋森林3-6人房（台北車站Z2出口步行10秒）,22516319,Sean  翔,,中正區,25.04688,121.51529,Entire home/apt,1914,20,239,2019-12-06,1.98,11,179,0,
5081189,台北車站正對面（8-12人房）熱情＋海洋＋璀璨＋曖昧+蒲公英＋清新,22516319,Sean  翔,,中正區,25.0448,121.51677,Entire home/apt,5686,20,25,2019-04-21,0.21,11,363,0,
5111903,窗框裡的101(近Taipei 101)提供月租short term rental,17270019,Eunice,,信義區,25.030485333548413,121.56003310894319,Private room,1116,2,69,2024-12-09,0.78,1,76,22,
5117935,Cozy King Bed En-Suite in Daan (3-Min Walk to MRT),26449355,Three Little Birds,,大安區,25.02245,121.53153,Private room,1826,1,86,2024-12-16,0.76,4,349,12,
5118544,Twin Private Room,26449355,Three Little Birds,,大安區,25.02129,121.52943,Private room,,1,60,2024-12-12,0.50,4,361,6,
5184999,台北車站正對面-紫色璀璨3-6人房(看的到101大樓景觀),22516319,Sean  翔,,中正區,25.04504,121.51657,Entire home/apt,2971,1,334,2024-11-27,2.77,11,164,8,
5193504,Double room N2@ 2 min to MRT (LINE 1 & LINE 3),10007698,Kiki,,松山區,25.05005,121.54495,Entire home/apt,2133,4,273,2024-12-11,2.27,18,77,18,
5222553,Near Taipei 101 apartment/MRT樓中樓設計時尙好宅,25523787,New Apt,,信義區,25.03219,121.56118,Entire home/apt,3440,28,70,2024-09-12,0.58,26,54,2,
5290265,台北車站正對面-粉紅曖昧3-6人房（台北車站Z2出口步行10秒）,22516319,Sean  翔,,中正區,25.04508,121.51466,Entire home/apt,1863,20,213,2020-03-18,1.78,11,172,0,
5352519,台北車站正對面（12-18人房）熱情＋海洋＋璀璨＋曖昧+蒲公英＋清新,22516319,Sean  翔,,中正區,25.04556,121.51492,Entire home/apt,8529,20,11,2017-08-26,0.09,11,365,0,
5369168,全新近台大景美站豪华复古整层一樓公寓可住2-4人偶像剧厨房美食天堂文化,8478209,Eric,,文山區,24.99165,121.54168,Entire home/apt,7200,3,8,2019-02-22,0.07,15,91,0,
5392448,Perfect for family with BABY! 1,27639138,Li-Chin,,大同區,25.07419,121.51862,Entire home/apt,15857,2,56,2018-01-20,0.47,2,364,0,
5395912,DAAN PARK Hotel - Double bed private room,14971125,Daan Park,,中正區,25.03379,121.53199,Private room,1066,1,24,2023-05-23,0.20,12,0,0,
5448667,永春棧 Rm202 Kozzy Apartment - near MRT YongChun,28262698,Emily,,信義區,25.03989,121.57772,Private room,600,28,166,2024-12-21,1.42,6,249,5,
5472730,Culture & Heritage House in Taipei,28385059,W.J.H,,大同區,25.05335,121.50953,Private room,5066,1,52,2024-05-20,0.44,5,81,1,
5475006,"公館站100m / 採光大空間 MRT 2mins, Taipei Downtown",5363323,Olga,,中正區,25.01301,121.53317,Private room,1829,14,90,2024-10-19,0.77,8,136,3,
5475668,公館站100m/ 獨立衛浴/ 台大 Single R/private Bth / MRT 3mins,5363323,Olga,,中正區,25.01337,121.53426,Private room,1614,12,103,2024-09-03,0.87,8,139,3,
5515015,Near MRT night market / business trip w/balcony,24847626,蕙如,,中山區,25.06513,121.52333,Private room,,2,8,2024-05-19,0.07,13,0,2,
5568200,w house 2 bedrooms全新兩房一廳一衛 捷運站步行1分鐘,28610875,Ling,,內湖區,25.06596,121.61035,Entire home/apt,2133,28,155,2024-12-04,1.31,4,149,4,
5572428,6 mins MRT Standard Double Room A,27668649,昌吉一號,,大同區,25.06693,121.51755,Private room,1730,1,16,2024-12-08,0.14,2,357,2,
5575829,WZ-casa [Cozy] Ximen MRT 3mins 西門町 FreeWiFi,28321231,W,,萬華區,25.04199,121.507,Entire home/apt,2994,3,322,2024-12-02,2.71,11,171,20,
5607149,"Family apartment, near MRT night market w/kitchen",24847626,蕙如,,中山區,25.06517,121.5234,Private room,,2,18,2024-10-21,0.21,13,0,2,
