title,author,date
統計下凡(三十一),黃文璋,2022/1/9 下午 01:37:25
統計下凡(三十),黃文璋,2022/1/2 上午 10:43:34
統計下凡(二十九),黃文璋,2021/12/26 上午 10:30:15
統計下凡(二十八),黃文璋,2021/12/19 下午 12:26:17
統計下凡(二十七),黃文璋,2021/12/12 下午 01:30:32
統計下凡(二十六),黃文璋,2021/12/5 上午 10:16:43
統計下凡(二十五),黃文璋,2021/11/28 上午 11:53:15
統計下凡(二十四),黃文璋,2021/11/21 下午 09:45:04
統計下凡(二十三),黃文璋,2021/11/14 下午 12:41:59
統計下凡(二十二),黃文璋,2021/11/7 上午 10:06:33
統計下凡(二十一),黃文璋,2021/10/31 下午 11:04:38
統計下凡(二十),黃文璋,2021/10/24 上午 10:23:03
南區統計三十年,黃文璋,2021/10/23 上午 11:47:50
統計下凡(十九),黃文璋,2021/10/17 上午 11:32:45
統計下凡(十八),黃文璋,2021/10/10 上午 10:47:34
統計下凡(十七),黃文璋,2021/10/3 下午 01:05:17
統計下凡(十六),黃文璋,2021/9/26 下午 12:23:04
統計下凡(十五),黃文璋,2021/9/19 下午 05:07:04
統計下凡(十四),黃文璋,2021/9/12 下午 06:47:29
統計下凡(十三),黃文璋,2021/9/5 下午 03:23:40
統計下凡(十二),黃文璋,2021/8/29 下午 01:39:17
統計下凡(十一),黃文璋,2021/8/22 下午 12:16:45
統計下凡(十),黃文璋,2021/8/15 下午 12:14:24
統計下凡(九),黃文璋,2021/8/8 下午 12:03:08
統計下凡(八),黃文璋,2021/8/1 下午 12:05:41
統計下凡(七),黃文璋,2021/7/25 下午 05:53:26
統計下凡(六),黃文璋,2021/7/18 下午 12:12:50
統計下凡(五),黃文璋,2021/7/11 下午 01:42:04
統計下凡(四),黃文璋,2021/7/4 上午 11:32:42
統計下凡(三),黃文璋,2021/6/27 下午 01:21:28
統計下凡(二),黃文璋,2021/6/20 上午 11:23:35
統計下凡(一),黃文璋,2021/6/13 下午 12:54:46
英式擇偶(二百三十九),黃文璋,2021/5/30 下午 03:28:40
英式擇偶(二百三十八),黃文璋,2021/5/25 上午 11:21:58
英式擇偶(二百三十七),黃文璋,2021/5/20 上午 11:30:42
英式擇偶(二百三十六),黃文璋,2021/5/15 下午 02:44:51
英式擇偶(二百三十五),黃文璋,2021/5/10 上午 11:34:01
英式擇偶(二百三十四),黃文璋,2021/5/5 下午 03:54:59
英式擇偶(二百三十三),黃文璋,2021/4/30 下午 04:57:18
英式擇偶(二百三十二),黃文璋,2021/4/25 下午 02:53:37
英式擇偶(二百三十一),黃文璋,2021/4/20 下午 01:54:40
英式擇偶(二百三十),黃文璋,2021/4/15 下午 02:01:31
記一個朋友60歲生日,黃文璋,2021/4/12 下午 05:45:18
英式擇偶(二百二十九),黃文璋,2021/4/9 下午 03:12:00
英式擇偶(二百二十八),黃文璋,2021/4/4 下午 12:52:53
英式擇偶(二百二十七),黃文璋,2021/3/30 上午 10:38:39
英式擇偶(二百二十六),黃文璋,2021/3/25 上午 11:11:20
英式擇偶(二百二十五),黃文璋,2021/3/20 下午 01:01:13
英式擇偶(二百二十四),黃文璋,2021/3/15 上午 11:29:42
英式擇偶(二百二十三),黃文璋,2021/3/10 上午 11:23:46
英式擇偶(二百二十二),黃文璋,2021/3/8 上午 01:11:08
英式擇偶(二百二十一),黃文璋,2021/2/27 下午 01:06:59
英式擇偶(二百二十),黃文璋,2021/2/22 上午 10:02:11
英式擇偶(二百一十九),黃文璋,2021/2/17 上午 10:18:10
英式擇偶(二百一十八),黃文璋,2021/2/11 上午 10:25:10
英式擇偶(二百一十七),黃文璋,2021/2/7 下午 11:20:38
英式擇偶(二百一十六),黃文璋,2021/2/2 下午 05:59:00
緣定三生,黃文璋,2021/1/30 下午 02:33:38
英式擇偶(二百一十五),黃文璋,2021/1/28 上午 11:12:59
英式擇偶(二百一十四),黃文璋,2021/1/23 下午 12:18:01
英式擇偶(二百一十三),黃文璋,2021/1/18 上午 10:32:44
英式擇偶(二百一十二),黃文璋,2021/1/13 下午 09:23:17
英式擇偶(二百一十一),黃文璋,2021/1/8 下午 01:20:30
英式擇偶(二百一十),黃文璋,2021/1/3 上午 10:43:12
英式擇偶(二百零九),黃文璋,2020/12/29 上午 10:23:23
英式擇偶(二百零八),黃文璋,2020/12/24 上午 11:00:23
英式擇偶(二百零七),黃文璋,2020/12/20 上午 11:02:15
英式擇偶(二百零六),黃文璋,2020/12/14 上午 10:47:29
英式擇偶(二百零五),黃文璋,2020/12/9 上午 10:14:11
英式擇偶(二百零四),黃文璋,2020/12/4 上午 10:38:01
英式擇偶(二百零三),黃文璋,2020/11/29 下午 01:37:54
英式擇偶(二百零二),黃文璋,2020/11/24 上午 11:01:13
英式擇偶(二百零一),黃文璋,2020/11/19 上午 10:37:57
英式擇偶(二百),黃文璋,2020/11/14 上午 09:26:59
英式擇偶(一百九十九),黃文璋,2020/11/9 上午 10:26:14
英式擇偶(一百九十八),黃文璋,2020/11/4 下午 05:32:27
英式擇偶(一百九十七),黃文璋,2020/10/30 上午 10:17:55
英式擇偶(一百九十六),黃文璋,2020/10/25 下午 01:40:30
英式擇偶(一百九十五),黃文璋,2020/10/20 上午 10:37:22
英式擇偶(一百九十四),黃文璋,2020/10/15 下午 01:36:33
英式擇偶(一百九十三),黃文璋,2020/10/10 上午 11:36:58
英式擇偶(一百九十二),黃文璋,2020/10/5 上午 10:36:59
英式擇偶(一百九十一),黃文璋,2020/9/30 下午 12:27:10
英式擇偶(一百九十),黃文璋,2020/9/25 上午 10:57:18
英式擇偶(一百八十九),黃文璋,2020/9/20 上午 10:16:18
英式擇偶(一百八十八),黃文璋,2020/9/15 上午 11:33:18
英式擇偶(一百八十七),黃文璋,2020/9/10 下午 01:41:25
英式擇偶(一百八十六),黃文璋,2020/9/5 上午 10:58:03
英式擇偶(一百八十五),黃文璋,2020/8/31 上午 11:39:27
英式擇偶(一百八十四),黃文璋,2020/8/26 下午 12:41:27
英式擇偶(一百八十三),黃文璋,2020/8/22 上午 11:16:46
南區統計二十九年,黃文璋,2020/8/21 下午 08:59:44
英式擇偶(一百八十二),黃文璋,2020/8/16 上午 11:07:05
英式擇偶(一百八十一),黃文璋,2020/8/12 上午 11:24:22
英式擇偶(一百八十),黃文璋,2020/8/6 上午 10:50:10
英式擇偶(一百七十九),黃文璋,2020/8/1 下午 01:46:35
英式擇偶(一百七十八),黃文璋,2020/7/27 下午 01:34:17
英式擇偶(一百七十七),黃文璋,2020/7/22 上午 11:32:31
英式擇偶(一百七十六),黃文璋,2020/7/17 上午 10:47:57
英式擇偶(一百七十五),黃文璋,2020/7/12 下午 05:50:16
英式擇偶(一百七十四),黃文璋,2020/7/7 下午 05:51:07
英式擇偶(一百七十三),黃文璋,2020/7/2 上午 10:59:47
英式擇偶(一百七十二),黃文璋,2020/6/27 上午 11:43:00
英式擇偶(一百七十一),黃文璋,2020/6/22 下午 01:48:27
英式擇偶(一百七十),黃文璋,2020/6/17 上午 11:10:24
英式擇偶(一百六十九),黃文璋,2020/6/13 上午 09:15:58
英式擇偶(一百六十八),黃文璋,2020/6/6 下午 04:08:36
英式擇偶(一百六十七),黃文璋,2020/6/2 上午 10:55:28
英式擇偶(一百六十六),黃文璋,2020/5/28 上午 11:04:20
英式擇偶(一百六十五),黃文璋,2020/5/23 下午 05:01:05
英式擇偶(一百六十四),黃文璋,2020/5/17 下午 01:58:19
英式擇偶(一百六十三),黃文璋,2020/5/13 上午 11:13:23
英式擇偶(一百六十二),黃文璋,2020/5/8 下午 12:30:55
英式擇偶(一百六十一),黃文璋,2020/5/6 下午 04:57:11
英式擇偶(一百六十),黃文璋,2020/4/28 下午 01:40:08
英式擇偶(一百五十九),黃文璋,2020/4/23 上午 11:30:18
英式擇偶(一百五十八),黃文璋,2020/4/18 下午 01:50:29
英式擇偶(一百五十七),黃文璋,2020/4/13 上午 10:21:46
英式擇偶(一百五十六),黃文璋,2020/4/8 上午 11:32:14
英式擇偶(一百五十五),黃文璋,2020/4/3 下午 02:28:02
英式擇偶(一百五十四),黃文璋,2020/3/29 下午 03:26:01
英式擇偶(一百五十三),黃文璋,2020/3/24 上午 11:17:13
英式擇偶(一百五十二),黃文璋,2020/3/19 上午 11:59:49
英式擇偶(一百五十一),黃文璋,2020/3/14 下午 02:11:27
英式擇偶(一百五十),黃文璋,2020/3/9 上午 11:33:35
英式擇偶(一百四十九),黃文璋,2020/3/4 下午 01:06:26
英式擇偶(一百四十八),黃文璋,2020/2/28 下午 12:13:54
英式擇偶(一百四十七),黃文璋,2020/2/23 下午 02:34:01
英式擇偶(一百四十六),黃文璋,2020/2/18 下午 02:51:52
英式擇偶(一百四十五),黃文璋,2020/2/13 下午 02:49:58
英式擇偶(一百四十四),黃文璋,2020/2/8 下午 05:11:45
英式擇偶(一百四十三),黃文璋,2020/2/3 上午 11:38:20
英式擇偶(一百四十二),黃文璋,2020/1/29 下午 10:02:11
英式擇偶(一百四十一),黃文璋,2020/1/24 下午 03:55:53
英式擇偶(一百四十),黃文璋,2020/1/19 下午 02:31:33
英式擇偶(一百三十九),黃文璋,2020/1/14 上午 10:43:52
英式擇偶(一百三十八),黃文璋,2020/1/10 下午 09:02:21
英式擇偶(一百三十七),黃文璋,2020/1/4 下午 02:50:23
英式擇偶(一百三十六),黃文璋,2019/12/30 下午 05:54:05
英式擇偶(一百三十五),黃文璋,2019/12/25 下午 05:00:22
英式擇偶(一百三十四),黃文璋,2019/12/20 下午 03:18:51
英式擇偶(一百三十三),黃文璋,2019/12/15 下午 12:12:21
英式擇偶(一百三十二),黃文璋,2019/12/10 上午 10:57:24
英式擇偶(一百三十一),黃文璋,2019/12/5 下午 02:20:42
英式擇偶(一百三十),黃文璋,2019/11/30 下午 02:49:34
英式擇偶(一百二十九),黃文璋,2019/11/25 下午 05:08:27
英式擇偶(一百二十八),黃文璋,2019/11/15 下午 01:19:42
英式擇偶(一百二十七),黃文璋,2019/11/11 上午 11:49:33
英式擇偶(一百二十六),黃文璋,2019/11/7 上午 11:15:03
英式擇偶(一百二十五),黃文璋,2019/11/3 下午 08:11:11
英式擇偶(一百二十四),黃文璋,2019/10/30 上午 11:59:15
英式擇偶(一百二十三),黃文璋,2019/10/26 下午 07:24:51
英式擇偶(一百二十二),黃文璋,2019/10/22 下午 03:43:51
英式擇偶(一百二十一),黃文璋,2019/10/18 下午 06:31:20
英式擇偶(一百二十),黃文璋,2019/10/14 下午 12:20:09
英式擇偶(一百一十九),黃文璋,2019/10/10 上午 10:41:58
英式擇偶(一百一十八),黃文璋,2019/10/6 下午 03:02:00
英式擇偶(一百一十七),黃文璋,2019/10/2 下午 03:15:18
英式擇偶(一百一十六),黃文璋,2019/9/28 下午 07:00:27
英式擇偶(一百一十五),黃文璋,2019/9/24 下午 12:30:24
英式擇偶(一百一十四),黃文璋,2019/9/20 下午 06:29:38
英式擇偶(一百一十三),黃文璋,2019/9/16 上午 10:56:29
英式擇偶(一百一十二),黃文璋,2019/9/12 上午 11:32:43
英式擇偶(一百一十一),黃文璋,2019/9/8 下午 05:07:11
英式擇偶(一百一十),黃文璋,2019/9/4 上午 11:07:24
英式擇偶(一百零九),黃文璋,2019/8/31 下午 03:46:17
英式擇偶(一百零八),黃文璋,2019/8/27 下午 04:43:08
英式擇偶(一百零七),黃文璋,2019/8/23 下午 02:45:22
英式擇偶(一百零六),黃文璋,2019/8/19 上午 10:45:13
英式擇偶(一百零五),黃文璋,2019/8/15 上午 10:22:41
英式擇偶(一百零四),黃文璋,2019/8/11 下午 04:46:22
英式擇偶(一百零三),黃文璋,2019/8/7 上午 08:56:22
英式擇偶(一百零二),黃文璋,2019/8/4 上午 02:56:35
英式擇偶(一百零一),黃文璋,2019/7/30 下午 02:24:58
英式擇偶(一百),黃文璋,2019/7/18 上午 10:58:39
英式擇偶(九十九),黃文璋,2019/7/16 下午 02:21:02
英式擇偶(九十八),黃文璋,2019/7/12 下午 01:42:33
英式擇偶(九十七),黃文璋,2019/7/8 下午 02:09:17
英式擇偶(九十六),黃文璋,2019/7/4 下午 12:18:22
英式擇偶(九十五),黃文璋,2019/6/30 下午 02:32:05
英式擇偶(九十四),黃文璋,2019/6/26 下午 10:07:50
第二十八屆南區統計研討會開幕致詞,黃文璋,2019/6/24 上午 10:22:08
南區統計二十八年,黃文璋,2019/6/22 下午 10:53:20
英式擇偶(九十三),黃文璋,2019/6/18 下午 03:37:37
英式擇偶(九十二),黃文璋,2019/6/14 下午 04:11:35
英式擇偶(九十一),黃文璋,2019/6/10 下午 12:24:53
英式擇偶(九十),黃文璋,2019/6/6 上午 10:53:29
英式擇偶(八十九),黃文璋,2019/6/2 下午 03:59:05
英式擇偶(八十八),黃文璋,2019/5/29 下午 01:38:03
英式擇偶(八十七),黃文璋,2019/5/25 下午 02:45:23
英式擇偶(八十六),黃文璋,2019/5/21 下午 02:51:21
英式擇偶(八十五),黃文璋,2019/5/17 下午 01:59:42
英式擇偶(八十四),黃文璋,2019/5/13 上午 11:15:16
英式擇偶(八十三),黃文璋,2019/5/9 下午 01:43:27
英式擇偶(八十二),黃文璋,2019/5/5 下午 01:05:25
英式擇偶(八十一),黃文璋,2019/5/1 下午 07:47:40
英式擇偶(八十),黃文璋,2019/4/27 下午 03:07:52
英式擇偶(七十九),黃文璋,2019/4/22 下午 02:38:50
英式擇偶(七十八),黃文璋,2019/4/17 上午 11:57:58
英式擇偶(七十七),黃文璋,2019/4/12 下午 02:20:52
英式擇偶(七十六),黃文璋,2019/4/7 下午 05:54:18
英式擇偶(七十五),黃文璋,2019/4/2 下午 06:01:13
英式擇偶(七十四),黃文璋,2019/3/28 下午 02:06:08
英式擇偶(七十三),黃文璋,2019/3/23 上午 09:00:42
英式擇偶(七十二),黃文璋,2019/3/18 下午 01:56:45
英式擇偶(七十一),黃文璋,2019/3/13 下午 12:12:29
英式擇偶(七十),黃文璋,2019/3/8 下午 01:46:51
英式擇偶(六十九),黃文璋,2019/3/3 下午 02:38:46
英式擇偶(六十八),黃文璋,2019/2/26 下午 06:50:33
英式擇偶(六十七),黃文璋,2019/2/24 下午 02:17:29
英式擇偶(六十六),黃文璋,2019/2/19 上午 11:55:44
英式擇偶(六十五),黃文璋,2019/2/14 下午 01:20:25
中華機率統計學會歷史沿革,黃文璋,2019/2/12 下午 01:52:56
英式擇偶(六十四),黃文璋,2019/2/10 下午 12:12:35
英式擇偶(六十三),黃文璋,2019/2/3 上午 10:25:17
英式擇偶(六十二),黃文璋,2019/1/29 下午 06:22:06
英式擇偶(六十一),黃文璋,2019/1/24 上午 10:17:13
英式擇偶(六十),黃文璋,2019/1/19 上午 09:08:36
英式擇偶(五十九),黃文璋,2019/1/14 下午 02:13:07
英式擇偶(五十八),黃文璋,2019/1/9 下午 12:35:01
英式擇偶(五十七),黃文璋,2019/1/4 下午 02:42:18
英式擇偶(五十六),黃文璋,2018/12/30 下午 10:10:59
英式擇偶(五十五),黃文璋,2018/12/25 下午 06:01:01
英式擇偶(五十四),黃文璋,2018/12/20 下午 07:27:01
英式擇偶(五十三),黃文璋,2018/12/15 下午 08:30:52
英式擇偶(五十二),黃文璋,2018/12/11 上午 08:57:34
英式擇偶(五十一),黃文璋,2018/12/6 下午 11:04:26
英式擇偶(五十),黃文璋,2018/12/2 下午 12:47:49
英式擇偶(四十九),黃文璋,2018/11/27 下午 05:45:03
英式擇偶(四十八),黃文璋,2018/11/22 上午 09:39:33
英式擇偶(四十七),黃文璋,2018/11/17 下午 11:13:14
英式擇偶(四十六),黃文璋,2018/11/13 下午 09:23:48
英式擇偶(四十五),黃文璋,2018/11/7 下午 01:05:06
英式擇偶(四十四),黃文璋,2018/11/2 下午 01:48:09
英式擇偶(四十三),黃文璋,2018/10/29 下午 07:29:39
英式擇偶(四十二),黃文璋,2018/10/19 上午 08:58:55
英式擇偶(四十一),黃文璋,2018/10/15 下午 12:14:49
英式擇偶(四十),黃文璋,2018/10/4 下午 01:03:52
英式擇偶(三十九),黃文璋,2018/9/28 下午 02:44:24
英式擇偶(三十八),黃文璋,2018/9/22 上午 11:30:40
英式擇偶(三十七),黃文璋,2018/9/16 上午 10:03:26
英式擇偶(三十六),黃文璋,2018/9/9 上午 11:15:53
英式擇偶(三十五),黃文璋,2018/9/4 上午 11:10:19
英式擇偶(三十四),黃文璋,2018/8/30 上午 08:55:53
英式擇偶(三十三),黃文璋,2018/8/17 上午 10:48:22
英式擇偶(三十二),黃文璋,2018/8/12 下午 07:42:41
英式擇偶(三十一),黃文璋,2018/8/6 下午 05:46:54
英式擇偶(三十),黃文璋,2018/8/3 下午 02:07:54
英式擇偶(二十九),黃文璋,2018/7/27 下午 01:42:27
英式擇偶(二十八),黃文璋,2018/7/24 下午 08:24:08
英式擇偶(二十七),黃文璋,2018/7/16 下午 07:40:02
英式擇偶(二十六),黃文璋,2018/7/9 下午 12:38:13
南區統計二十七年,黃文璋,2018/7/1 上午 09:26:27
英式擇偶(二十五),黃文璋,2018/6/27 下午 09:31:18
海峽兩岸機率與統計十一屆,黃文璋,2018/6/3 下午 01:59:24
英式擇偶(二十四),黃文璋,2018/5/26 下午 07:19:11
英式擇偶(二十三),黃文璋,2018/5/19 下午 08:01:35
英式擇偶(二十二),黃文璋,2018/5/13 上午 09:21:19
英式擇偶(二十一),黃文璋,2018/5/6 上午 11:34:40
英式擇偶(二十),黃文璋,2018/5/2 下午 08:14:28
英式擇偶(十九),黃文璋,2018/4/27 下午 06:50:14
英式擇偶(十八),黃文璋,2018/4/22 下午 12:39:33
英式擇偶(十七),黃文璋,2018/4/16 下午 05:33:38
英式擇偶(十六),黃文璋,2018/4/11 下午 12:28:41
英式擇偶(十五),黃文璋,2018/4/6 上午 09:56:36
英式擇偶(十四),黃文璋,2018/3/22 下午 01:56:41
英式擇偶(十三),黃文璋,2018/3/15 上午 09:35:44
英式擇偶(十二),黃文璋,2018/3/5 下午 02:46:34
英式擇偶(十一),黃文璋,2018/2/14 下午 02:34:13
英式擇偶(十),黃文璋,2018/2/3 上午 01:18:30
英式擇偶(九),黃文璋,2018/1/25 下午 05:44:12
英式擇偶(八),黃文璋,2018/1/5 下午 03:33:37
英式擇偶(七),黃文璋,2017/12/26 下午 09:43:58
英式擇偶(六),黃文璋,2017/12/17 下午 06:22:56
英式擇偶(五),黃文璋,2017/12/13 上午 12:45:34
無友不如己者,黃文璋,2017/12/9 下午 12:49:05
英式擇偶(四),黃文璋,2017/12/5 下午 01:11:12
英式擇偶(三),黃文璋,2017/11/20 下午 02:04:45
英式擇偶(二),黃文璋,2017/11/8 下午 08:02:38
英式擇偶(一),黃文璋,2017/11/2 下午 01:56:27
甲骨文,黃文璋,2017/10/13 下午 11:15:50
無罪推定的迷思,黃文璋,2017/10/9 下午 04:03:19
龍骨,黃文璋,2017/10/3 上午 11:45:17
占卜之用,黃文璋,2017/9/26 下午 04:00:48
止戈為武？,黃文璋,2017/9/18 下午 07:02:04
統計界的紳士陳珍信,黃文璋,2017/8/29 下午 02:44:26
神機妙算,黃文璋,2017/8/13 下午 12:37:25
鬼谷子,黃文璋,2017/8/5 下午 03:22:06
我認識一位傳奇鄭清水,黃文璋,2017/7/5 上午 10:36:18
第二十六屆南區統計研討會開幕致詞,黃文璋,2017/6/25 上午 09:35:22
南區統計二十六年,黃文璋,2017/6/25 上午 01:07:46
評比(四),黃文璋,2017/6/15 下午 11:09:06
評比(三),黃文璋,2017/6/8 下午 05:56:10
測謊裡的機率,黃文璋,2017/6/1 上午 10:40:55
評比(二),黃文璋,2017/5/21 上午 07:57:04
評比(一),黃文璋,2017/5/15 下午 10:42:26
談統計素養(十一),黃文璋,2017/5/2 下午 10:18:43
談統計素養(十),黃文璋,2017/4/3 下午 07:44:32
談統計素養(九),黃文璋,2017/3/23 下午 07:17:52
談統計素養(八),黃文璋,2017/3/12 上午 12:04:02
談統計素養(七),黃文璋,2017/3/6 下午 08:48:25
談統計素養(六),黃文璋,2017/2/22 下午 07:56:58
球賽裡的魔咒,黃文璋,2017/2/2 下午 01:18:16
談統計素養(五),黃文璋,2017/1/19 上午 09:57:28
談統計素養(四),黃文璋,2017/1/14 下午 01:37:04
