"token","topic"
"rooney",2
"manchester",2
"united",2
"fa",2
"tie",2
"west",2
"david",2
"bad",2
"happen",2
"newspaper",2
"story",2
"association",2
"october",2
"matter",2
"wenger",2
"action",2
"fine",2
"deny",2
"insist",2
"official",2
"comment",1
"referee",1
"national",2
"press",2
"english",2
"spain",2
"spanish",2
"wednesday",2
"area",1
"city",2
"james",2
"fantastic",2
"opportunity",2
"end",2
"away",2
"turn",2
"campbell",2
"clear",2
"head",2
"chance",2
"goal",2
"score",2
"half",2
"ball",2
"corner",2
"wide",2
"yard",2
"lead",2
"halftime",2
"minute",2
"tackle",2
"defender",2
"arsenal",2
"henry",2
"cole",2
"shot",2
"keeper",2
"strike",2
"striker",2
"van",2
"heart",2
"later",2
"stage",2
"attempt",2
"opening",2
"throw",2
"push",1
"past",2
"post",2
"domain",1
"travel",1
"couple",2
"bit",2
"little",2
"drop",2
"fight",2
"advantage",1
"manage",2
"force",2
"american",2
"crowd",2
"edge",2
"break",2
"hold",2
"point",2
"nadal",2
"roddick",2
"serve",2
"winner",2
"save",2
"set",2
"pass",2
"pressure",2
"secure",2
"level",2
"moment",2
"quick",1
"straight",1
"maintain",2
"struggle",2
"celtic",2
"ranger",2
"thompson",1
"appearance",2
"join",2
"guy",2
"admit",2
"saturday",2
"hopefully",2
"ve",2
"ill",2
"mind",2
"britain",2
"british",2
"cup",2
"davis",2
"henman",2
"tim",2
"tennis",2
"success",2
"debut",1
"france",2
"french",2
"defeat",2
"victory",2
"having",2
"meet",2
"draw",2
"quarterfinal",2
"round",2
"match",2
"fourth",2
"russian",2
"beat",2
"seed",2
"final",2
"semifinal",2
"australian",2
"hewitt",2
"federer",2
"davenport",2
"open",2
"wimbledon",2
"lose",2
"grand",2
"slam",2
"win",2
"face",2
"tough",2
"fellow",2
"young",2
"honour",2
"seven",2
"major",2
"doubt",2
"suffer",2
"loss",2
"staff",2
"difficult",2
"friday",2
"meeting",2
"sunday",2
"week",2
"weekend",2
"despite",2
"injure",2
"pull",2
"hope",2
"john",2
"paul",2
"centre",2
"bath",2
"leicester",2
"coach",2
"nation",2
"andy",2
"england",2
"robinson",2
"matt",2
"squad",2
"mike",2
"ruddock",2
"row",2
"forward",1
"effort",2
"henson",2
"kick",2
"twice",2
"left",2
"de",2
"italy",2
"thomas",2
"williams",2
"flanker",2
"capt",2
"wing",2
"lock",2
"replacement",2
"near",2
"flyhalf",2
"hodgson",2
"irish",2
"brian",2
"odriscoll",2
"ireland",2
"ogara",2
"penalty",2
"try",2
"osullivan",2
"road",2
"fit",1
"injury",2
"recover",2
"unlikely",2
"newcastle",2
"andrew",2
"wilkinson",2
"blue",1
"massive",1
"captain",2
"career",2
"dallaglio",2
"international",2
"johnson",2
"martin",2
"replace",2
"step",1
"certain",2
"impressive",2
"particular",2
"lion",2
"woodward",2
"pick",2
"follow",1
"leave",2
"africa",2
"australia",2
"south",2
"cardiff",2
"wale",2
"park",2
"new",2
"tour",2
"black",2
"zealand",2
"series",2
"great",2
"team",2
"rugby",2
"union",2
"welsh",2
"confidence",2
"performance",2
"return",2
"start",2
"confident",2
"rest",2
"st",2
"knee",2
"edinburgh",2
"taylor",2
"experience",2
"scottish",2
"scotland",2
"smith",2
"hand",1
"jason",2
"white",2
