category,business,entertaiment,politics,sport,tech
business,3,7,3,8,1
business,11,11,9,5,9
business,7,5,0,5,0
business,18,8,7,2,3
business,11,6,3,6,0
business,21,8,10,3,5
business,9,13,4,8,4
business,8,10,4,10,3
business,8,5,1,3,0
business,7,2,6,3,1
business,14,9,3,4,7
business,23,19,8,4,8
business,17,6,1,3,0
business,11,10,5,6,5
business,17,3,4,2,0
business,5,10,1,13,1
business,9,9,0,9,0
business,20,11,6,8,0
business,12,13,10,3,10
business,5,4,6,2,2
business,12,9,0,6,0
business,15,7,17,1,10
business,26,10,15,3,3
business,14,6,1,4,0
business,12,4,0,3,5
business,0,0,3,2,0
business,12,9,3,6,2
business,5,8,4,3,8
business,11,8,2,4,2
business,20,23,2,8,11
business,11,9,3,6,5
business,19,19,17,14,15
business,4,8,3,7,1
business,7,3,2,1,5
business,4,5,2,4,1
business,5,7,5,9,2
business,10,5,3,4,0
business,16,14,7,6,7
business,24,20,14,5,14
business,10,19,14,10,8
business,10,8,0,5,0
business,2,1,0,9,0
business,7,3,0,4,0
business,21,10,8,5,1
business,20,14,8,9,6
business,3,4,0,2,0
business,13,13,9,16,8
business,11,11,2,7,2
business,5,4,1,1,3
business,3,4,5,3,3
business,4,3,3,4,1
business,20,20,18,13,16
business,11,0,1,1,0
business,9,5,6,2,4
business,7,8,4,5,4
business,7,1,0,1,0
business,4,4,3,0,6
business,1,13,3,5,2
business,7,19,6,10,8
business,3,4,0,0,0
business,5,8,1,6,1
business,3,2,1,1,1
business,10,5,3,4,0
business,22,27,15,21,6
business,21,20,17,15,15
business,3,3,4,4,8
business,7,3,2,3,1
business,10,4,10,4,2
business,27,26,23,3,20
business,30,14,2,6,4
business,12,5,2,5,0
business,30,13,11,2,6
business,15,3,1,1,2
business,12,2,0,1,5
business,6,13,2,15,8
business,10,10,5,4,5
business,10,6,3,6,11
business,1,1,3,1,2
business,10,4,0,1,1
business,21,10,11,2,7
business,19,10,6,6,2
business,13,8,0,5,0
business,15,9,6,9,2
business,15,2,2,5,1
business,15,2,3,4,2
business,5,4,5,2,3
business,9,3,1,3,1
business,14,9,6,2,5
business,19,4,17,2,3
business,8,1,0,1,2
business,13,5,11,2,1
business,14,10,3,5,3
business,13,8,2,7,1
business,9,18,8,14,10
business,14,6,5,3,1
business,13,8,7,4,4
business,16,2,0,2,4
business,4,5,7,4,2
business,13,3,3,4,2
business,32,11,11,3,5
business,10,4,1,4,2
business,12,8,4,6,2
business,4,5,0,5,0
business,6,2,1,1,0
business,7,6,4,4,2
business,9,2,0,1,0
business,25,7,17,1,13
business,6,1,3,0,3
business,13,6,3,5,0
business,17,16,13,3,11
business,19,9,1,4,3
business,9,9,0,5,0
business,21,12,2,11,1
business,11,8,6,7,0
business,17,14,3,6,2
business,5,7,5,8,5
business,21,10,8,3,5
business,17,8,2,4,0
business,12,13,9,8,9
business,10,4,1,2,1
business,8,5,0,4,0
business,16,8,9,5,2
business,5,3,0,2,1
business,4,3,1,2,0
business,10,6,1,3,1
business,16,7,10,5,3
business,13,11,5,5,5
business,12,6,7,2,5
business,10,5,1,2,1
business,28,17,11,10,4
business,18,12,13,2,9
business,6,5,2,3,2
business,11,8,0,3,0
business,7,6,2,5,2
business,16,4,2,2,1
business,16,3,1,3,1
business,22,11,5,10,2
business,12,7,4,2,3
business,8,6,2,4,2
business,10,13,4,13,4
business,13,6,1,8,1
business,9,4,1,3,1
business,0,5,1,6,0
business,8,5,0,3,0
business,11,8,3,4,1
business,16,15,5,10,5
business,17,2,5,3,0
business,5,5,0,3,0
business,21,15,9,6,6
business,6,5,3,6,2
business,10,10,5,3,4
business,16,12,4,5,3
business,24,16,14,10,10
business,10,6,3,1,3
business,22,12,7,9,3
business,14,9,6,2,5
business,5,6,2,6,1
business,6,3,0,2,0
business,7,8,3,5,1
business,8,5,3,5,3
business,9,6,0,3,0
business,9,5,4,3,1
business,23,10,5,1,5
business,5,3,0,3,0
business,6,8,0,7,2
business,7,4,3,1,1
business,16,13,7,7,5
business,9,6,5,8,2
business,11,14,3,15,2
business,14,8,5,4,1
business,3,10,3,9,4
business,15,10,4,7,3
business,6,8,2,4,2
business,6,2,1,1,1
business,5,2,0,2,0
business,16,11,6,17,4
business,19,8,5,7,1
business,8,6,1,2,1
business,19,10,6,6,2
business,6,4,3,2,1
business,19,8,7,7,1
business,6,3,1,2,1
business,10,8,4,4,3
business,18,5,1,3,1
business,4,6,0,5,0
business,7,3,3,2,0
business,4,3,0,3,0
business,8,1,0,1,2
business,8,12,1,11,1
business,15,13,6,8,6
business,3,2,0,2,0
business,2,1,1,1,1
business,5,5,2,2,2
business,10,4,0,1,1
business,2,1,1,0,1
business,3,3,0,2,0
business,4,7,4,6,2
business,11,2,1,1,0
business,11,11,7,6,5
business,1,4,1,5,0
business,6,5,3,4,2
business,6,1,1,0,3
business,4,4,2,2,0
business,6,4,1,3,1
business,4,10,6,8,4
business,2,5,0,4,0
business,17,16,6,9,5
business,9,8,2,1,2
business,12,5,0,4,0
business,9,9,7,3,3
business,8,7,10,3,2
business,13,5,8,4,2
business,10,4,3,3,3
business,19,5,3,5,1
business,8,5,1,5,1
business,11,4,0,4,0
business,4,5,2,2,2
business,7,4,2,2,2
business,8,1,0,2,0
business,5,3,1,2,0
business,9,3,6,4,4
business,31,14,7,8,4
business,3,7,1,4,0
business,12,10,6,3,6
business,12,5,1,4,1
business,8,10,5,6,4
business,8,6,0,4,0
business,15,18,2,16,2
business,26,11,2,5,1
business,7,8,3,6,2
business,10,7,1,5,1
business,35,11,5,7,3
business,10,7,3,3,3
business,11,7,7,6,3
business,24,15,9,2,7
business,10,12,3,6,0
business,4,3,0,2,0
business,8,11,2,10,0
business,17,14,3,6,2
business,15,4,0,0,1
business,3,2,1,2,0
business,8,5,2,5,1
business,15,5,1,2,1
business,7,4,1,3,1
business,13,5,1,1,1
business,14,5,8,1,6
business,8,12,4,8,4
business,7,7,1,4,1
business,23,7,11,3,4
business,14,7,6,3,1
business,20,10,9,2,4
business,10,6,2,4,2
business,15,10,1,2,4
business,6,2,0,1,0
business,1,2,1,2,0
business,11,8,4,2,3
business,12,10,9,9,7
business,11,7,2,5,2
business,12,4,1,3,0
business,13,12,5,8,2
business,21,12,2,11,1
business,11,5,2,3,0
business,15,4,1,1,0
business,20,4,1,4,1
business,5,6,4,5,2
business,4,5,2,2,2
business,20,10,12,1,8
business,7,7,12,4,4
business,4,8,1,8,1
business,5,5,3,3,9
business,3,4,1,4,0
business,9,6,4,8,4
business,24,8,1,4,0
business,9,7,0,6,0
business,15,13,11,3,10
business,9,4,0,3,0
business,6,10,0,7,0
business,10,12,4,3,3
business,10,1,1,2,0
business,13,10,8,4,6
business,10,6,5,3,5
business,31,13,2,3,1
business,11,7,2,5,3
business,4,9,4,6,5
business,8,12,0,8,1
business,5,6,2,4,1
business,11,4,0,3,3
business,12,5,5,0,6
business,9,10,1,6,1
business,10,4,0,2,1
business,3,3,2,4,1
business,18,11,5,4,3
business,3,3,0,2,0
business,18,13,8,6,3
business,12,8,7,4,3
business,8,3,1,1,1
business,8,8,1,2,0
business,6,4,2,5,1
business,7,1,0,1,0
business,9,4,0,4,0
business,6,6,5,0,2
business,22,11,4,2,7
business,8,5,0,5,2
business,13,10,1,8,1
business,7,8,4,11,4
business,8,5,4,1,4
business,1,4,0,5,0
business,14,5,1,4,1
business,7,1,0,0,0
business,20,16,24,5,14
business,16,9,3,2,1
business,9,5,2,7,0
business,13,8,5,5,1
business,11,9,10,11,3
business,11,1,1,0,1
business,13,6,3,5,0
business,16,14,7,6,7
business,14,7,8,15,7
business,0,1,1,1,0
business,14,16,12,5,11
business,29,7,7,1,5
business,16,3,1,2,0
business,9,5,0,5,0
business,15,4,14,2,2
business,3,4,1,2,0
business,15,4,1,2,3
business,8,8,12,8,7
business,7,2,0,1,0
business,13,10,9,1,9
business,15,13,1,9,1
business,9,6,4,4,3
business,8,10,4,6,3
business,3,5,2,3,2
entertainment,1,2,0,0,0
entertainment,2,5,2,3,2
entertainment,3,9,4,2,3
entertainment,2,13,0,5,0
entertainment,0,6,0,2,0
entertainment,2,18,2,2,2
entertainment,2,5,0,4,0
entertainment,0,13,1,1,0
entertainment,1,8,2,7,1
entertainment,2,5,5,11,1
entertainment,1,6,1,4,1
entertainment,4,15,5,11,4
entertainment,4,10,1,9,1
entertainment,1,11,0,4,0
entertainment,2,8,2,3,2
entertainment,2,11,1,3,1
entertainment,1,4,1,3,1
entertainment,5,6,4,1,4
entertainment,1,5,1,1,1
entertainment,1,1,2,0,1
entertainment,3,6,3,8,3
entertainment,2,11,4,8,4
entertainment,1,3,1,3,1
entertainment,7,14,3,2,3
entertainment,2,6,2,3,1
entertainment,5,10,3,6,3
entertainment,3,8,3,3,2
entertainment,2,9,3,1,2
entertainment,0,16,0,3,0
entertainment,3,27,2,0,2
entertainment,1,4,1,1,1
entertainment,3,13,5,5,5
entertainment,1,6,0,1,1
entertainment,2,22,0,1,0
entertainment,0,8,0,0,0
entertainment,2,10,2,6,2
entertainment,3,11,4,6,3
entertainment,0,19,0,0,0
entertainment,8,30,9,4,9
entertainment,2,15,1,1,0
entertainment,3,12,0,2,0
entertainment,1,18,0,3,1
entertainment,2,12,2,6,2
entertainment,3,12,2,4,2
entertainment,2,13,1,1,2
entertainment,14,13,1,2,0
entertainment,2,16,2,0,2
entertainment,0,5,0,1,0
entertainment,2,11,1,3,0
entertainment,1,7,0,6,0
entertainment,1,15,0,3,0
entertainment,1,5,3,3,1
entertainment,2,9,2,2,2
entertainment,1,15,3,6,3
entertainment,0,5,0,0,0
entertainment,2,10,2,8,2
entertainment,2,6,1,0,1
entertainment,5,21,4,4,3
entertainment,2,15,1,3,1
entertainment,2,9,2,0,2
entertainment,2,27,3,13,2
entertainment,1,25,0,1,0
entertainment,2,21,1,2,0
entertainment,2,22,4,9,2
entertainment,2,12,2,1,2
entertainment,13,14,2,3,1
entertainment,0,17,1,4,2
entertainment,0,3,2,2,0
entertainment,1,15,0,3,0
entertainment,0,16,0,0,0
entertainment,1,12,1,6,1
entertainment,0,10,0,2,0
entertainment,1,16,0,0,0
entertainment,2,6,2,2,1
entertainment,0,22,0,2,0
entertainment,3,7,3,1,1
entertainment,2,8,1,1,1
entertainment,1,19,2,11,2
entertainment,2,12,0,3,0
entertainment,0,6,1,4,1
entertainment,1,5,4,4,3
entertainment,8,30,9,4,9
entertainment,1,3,0,0,0
entertainment,0,9,0,0,0
entertainment,4,20,5,3,5
entertainment,0,18,0,7,0
entertainment,2,9,0,5,0
entertainment,2,6,2,2,1
entertainment,1,7,0,1,0
entertainment,0,17,0,1,1
entertainment,2,19,0,0,0
entertainment,1,7,1,0,0
entertainment,1,7,2,4,2
entertainment,4,17,8,5,4
entertainment,1,37,1,5,0
entertainment,0,12,0,0,0
entertainment,2,21,4,2,3
entertainment,1,3,3,2,0
entertainment,3,22,1,2,1
entertainment,8,16,7,2,5
entertainment,4,21,4,4,4
entertainment,1,18,1,0,1
entertainment,18,18,3,7,17
entertainment,0,3,0,3,1
entertainment,3,19,0,5,1
entertainment,0,11,0,2,0
entertainment,1,5,0,1,3
entertainment,4,10,7,8,5
entertainment,4,16,3,0,3
entertainment,4,5,4,3,4
entertainment,0,2,1,0,0
entertainment,2,6,1,1,1
entertainment,3,7,3,3,4
entertainment,7,9,8,4,6
entertainment,2,9,0,6,1
entertainment,1,7,1,0,4
entertainment,3,11,0,5,2
entertainment,2,13,2,7,2
entertainment,1,5,0,1,1
entertainment,1,8,1,14,3
entertainment,0,14,2,4,2
entertainment,3,25,5,13,10
entertainment,3,10,2,4,2
entertainment,2,2,2,0,2
entertainment,2,22,0,2,1
entertainment,5,21,5,1,5
entertainment,18,18,3,7,17
entertainment,4,17,1,1,3
entertainment,0,26,0,0,0
entertainment,2,9,2,7,3
entertainment,25,42,33,9,32
entertainment,3,20,0,3,2
entertainment,4,9,1,3,3
entertainment,1,10,2,3,2
entertainment,3,9,3,2,3
entertainment,1,10,1,2,1
entertainment,2,10,3,4,3
entertainment,4,7,0,2,1
entertainment,2,18,0,4,0
entertainment,2,6,2,5,2
entertainment,0,13,1,11,1
entertainment,10,27,10,9,14
entertainment,7,19,11,7,7
entertainment,1,9,0,1,0
entertainment,4,9,1,3,3
entertainment,3,10,1,1,1
entertainment,4,8,4,1,6
entertainment,3,22,5,4,22
entertainment,7,12,7,5,8
entertainment,5,14,0,0,0
entertainment,1,8,0,2,1
entertainment,4,14,5,5,6
entertainment,2,42,2,5,3
entertainment,0,9,0,9,0
entertainment,0,5,0,1,0
entertainment,2,31,2,0,6
entertainment,2,3,0,2,0
entertainment,4,7,0,2,1
entertainment,4,18,2,4,4
entertainment,4,7,2,1,2
entertainment,9,19,5,5,7
entertainment,5,8,0,1,1
entertainment,1,8,2,3,3
entertainment,1,4,1,1,3
entertainment,2,2,2,0,2
entertainment,2,7,1,7,2
entertainment,1,8,6,4,4
entertainment,1,9,0,6,1
entertainment,7,10,10,3,7
entertainment,1,3,1,1,2
entertainment,5,8,4,2,4
entertainment,3,4,0,0,0
entertainment,1,3,2,2,1
entertainment,1,4,1,5,1
entertainment,2,6,1,5,2
entertainment,2,4,1,2,1
entertainment,1,5,1,3,0
entertainment,0,3,0,2,0
entertainment,6,4,0,0,1
entertainment,0,3,0,4,0
entertainment,2,10,3,10,2
entertainment,2,6,1,2,4
entertainment,0,1,0,2,0
entertainment,10,19,9,5,14
entertainment,0,8,0,3,0
entertainment,1,5,0,5,1
entertainment,0,4,0,6,1
entertainment,1,1,1,2,1
entertainment,0,4,0,2,0
entertainment,3,10,2,7,2
entertainment,2,11,0,1,3
entertainment,0,5,5,6,4
entertainment,1,6,4,8,3
entertainment,2,8,1,2,0
entertainment,0,2,1,2,2
entertainment,0,11,0,4,0
entertainment,6,13,3,13,11
entertainment,0,8,1,1,0
entertainment,1,3,2,2,1
entertainment,0,0,2,2,0
entertainment,2,30,1,4,1
entertainment,3,6,2,6,6
entertainment,0,8,1,8,0
entertainment,1,8,0,8,0
entertainment,1,3,0,2,0
entertainment,3,6,2,5,1
entertainment,1,3,2,5,2
entertainment,4,15,3,6,4
entertainment,2,7,3,6,3
entertainment,2,4,2,3,2
entertainment,2,4,3,2,0
entertainment,4,10,2,0,3
entertainment,2,8,12,2,9
entertainment,4,7,4,4,5
entertainment,5,18,0,2,1
entertainment,6,4,0,0,1
entertainment,1,3,0,2,0
entertainment,4,6,4,2,3
entertainment,4,13,3,4,7
entertainment,2,13,0,1,5
entertainment,3,10,7,7,7
entertainment,1,2,2,0,2
entertainment,2,3,2,3,2
entertainment,0,5,0,2,1
entertainment,1,4,3,5,3
entertainment,7,11,6,4,6
entertainment,4,7,2,1,2
entertainment,6,24,10,3,12
entertainment,9,26,9,9,12
entertainment,2,7,2,1,3
entertainment,7,24,5,8,18
entertainment,2,5,3,4,3
entertainment,1,6,0,3,0
entertainment,2,16,1,1,1
entertainment,3,19,0,5,1
entertainment,4,27,2,5,5
entertainment,1,11,2,9,3
entertainment,1,15,4,6,5
entertainment,2,9,1,1,1
entertainment,3,6,1,0,1
entertainment,1,14,1,3,3
entertainment,0,8,0,1,0
entertainment,1,21,1,1,3
entertainment,0,22,0,7,2
entertainment,3,11,7,4,7
entertainment,0,2,0,0,1
entertainment,2,4,1,3,2
entertainment,2,13,4,6,8
entertainment,1,9,1,0,1
entertainment,5,8,0,1,1
entertainment,1,22,3,4,3
entertainment,1,4,0,2,0
entertainment,7,164,17,22,44
entertainment,3,17,2,2,6
entertainment,2,20,4,5,11
entertainment,6,101,22,20,91
entertainment,4,11,4,8,4
entertainment,1,9,2,4,1
entertainment,4,20,1,2,3
entertainment,3,14,2,2,3
entertainment,0,26,0,0,0
entertainment,7,31,5,8,10
entertainment,1,16,5,6,7
entertainment,8,46,2,3,5
entertainment,1,3,2,3,2
entertainment,5,11,2,4,9
entertainment,3,16,2,4,2
entertainment,0,12,0,6,3
entertainment,1,20,2,7,4
entertainment,0,4,0,0,0
entertainment,17,23,7,10,19
entertainment,3,9,4,2,3
entertainment,1,3,1,3,1
entertainment,1,9,2,4,3
entertainment,7,41,6,5,6
entertainment,0,4,2,1,3
entertainment,0,6,0,2,1
entertainment,2,4,0,3,1
entertainment,3,14,3,9,4
entertainment,2,12,7,8,11
entertainment,4,13,3,8,4
entertainment,3,16,3,13,11
entertainment,3,16,1,3,3
entertainment,2,8,3,1,9
entertainment,1,6,0,1,4
entertainment,1,17,0,0,3
entertainment,1,8,1,3,4
entertainment,1,8,5,12,14
entertainment,5,10,4,4,6
entertainment,0,4,1,1,5
entertainment,2,17,3,10,3
entertainment,1,3,1,3,1
entertainment,4,12,10,7,5
entertainment,4,18,4,7,6
entertainment,0,7,0,3,0
entertainment,1,23,0,5,2
entertainment,0,3,1,0,0
entertainment,5,9,2,5,2
entertainment,3,10,3,4,3
entertainment,3,9,3,1,3
entertainment,2,16,3,1,2
entertainment,1,6,1,2,1
entertainment,7,27,7,6,1
entertainment,1,8,1,3,0
entertainment,10,9,5,5,5
entertainment,7,25,2,6,2
entertainment,0,10,0,4,0
entertainment,0,3,2,2,0
entertainment,2,18,0,1,0
entertainment,1,4,2,3,1
entertainment,2,10,4,9,4
entertainment,2,7,2,1,2
entertainment,6,15,7,5,7
entertainment,4,29,4,11,4
entertainment,1,14,2,8,2
entertainment,0,12,0,0,0
entertainment,3,11,3,2,2
entertainment,2,12,1,2,4
entertainment,14,14,7,2,10
entertainment,4,9,3,3,5
entertainment,22,24,4,4,18
entertainment,0,8,1,6,0
entertainment,1,24,4,6,2
entertainment,0,9,0,2,0
entertainment,0,15,0,3,0
entertainment,4,46,6,8,4
entertainment,2,6,2,4,2
entertainment,0,18,0,7,0
entertainment,2,17,2,4,2
entertainment,4,14,2,5,2
entertainment,2,11,0,3,0
entertainment,1,12,0,1,0
entertainment,2,8,2,3,1
entertainment,0,12,0,0,0
entertainment,2,11,1,3,0
entertainment,4,24,5,5,4
entertainment,1,19,2,3,1
entertainment,14,13,1,2,0
entertainment,0,7,0,3,0
entertainment,2,5,2,2,2
entertainment,1,18,1,0,1
entertainment,0,6,1,3,3
entertainment,2,4,1,3,1
entertainment,4,10,1,2,1
entertainment,0,1,0,1,0
entertainment,11,16,4,0,9
entertainment,1,11,1,7,3
entertainment,5,21,4,4,3
entertainment,3,9,2,3,3
entertainment,1,16,0,0,0
entertainment,1,8,1,2,1
entertainment,5,45,5,8,4
entertainment,13,35,18,19,25
entertainment,2,31,5,12,3
entertainment,0,28,3,7,0
entertainment,2,12,2,6,2
entertainment,3,41,4,10,2
entertainment,5,16,7,10,5
entertainment,3,4,0,0,0
entertainment,2,12,3,3,2
entertainment,3,13,0,2,0
entertainment,1,14,1,2,1
entertainment,3,27,6,4,4
entertainment,5,8,3,0,2
entertainment,0,5,0,5,0
entertainment,0,10,0,3,1
entertainment,11,38,11,13,11
entertainment,5,54,8,23,6
entertainment,0,16,3,4,4
entertainment,1,25,0,1,0
entertainment,2,16,1,2,1
entertainment,3,38,4,8,1
entertainment,0,19,1,11,1
entertainment,3,9,3,4,3
entertainment,6,20,13,11,8
entertainment,0,3,5,0,2
entertainment,1,15,1,1,0
entertainment,5,15,3,6,4
entertainment,4,9,4,1,4
entertainment,2,12,2,0,2
entertainment,0,3,0,2,0
entertainment,0,8,2,3,0
entertainment,2,12,5,4,2
entertainment,2,11,2,2,2
entertainment,3,12,4,4,2
entertainment,1,9,1,3,1
politics,6,13,9,11,4
politics,13,18,15,10,10
politics,4,6,8,3,2
politics,2,5,8,3,0
politics,15,15,34,7,11
politics,3,9,7,8,0
politics,12,16,41,9,11
politics,1,9,12,11,2
politics,15,20,25,8,14
politics,3,2,4,1,2
politics,6,13,20,7,7
politics,6,14,20,8,11
politics,12,16,32,6,16
politics,8,13,15,9,7
politics,3,3,4,1,2
politics,4,5,2,4,1
politics,5,7,5,4,2
politics,2,4,5,3,3
politics,11,23,23,13,18
politics,8,9,12,10,1
politics,18,15,27,6,8
politics,15,18,40,9,12
politics,7,4,5,3,1
politics,7,8,11,4,5
politics,3,5,5,4,0
politics,4,4,11,2,4
politics,15,19,40,11,5
politics,6,10,8,5,6
politics,10,12,9,4,6
politics,3,3,2,2,1
politics,3,11,4,10,2
politics,1,6,2,7,1
politics,10,10,9,4,4
politics,11,18,28,8,11
politics,6,4,13,2,3
politics,7,19,14,14,5
politics,5,3,14,2,4
politics,2,6,1,7,1
politics,12,12,15,17,1
politics,9,14,15,8,6
politics,15,14,26,1,13
politics,10,13,12,8,2
politics,6,7,13,4,6
politics,3,2,2,3,0
politics,10,15,7,9,6
politics,12,12,25,1,11
politics,6,12,6,13,4
politics,7,9,7,9,3
politics,13,19,19,9,16
politics,12,16,18,9,12
politics,1,10,1,9,1
politics,2,2,3,1,3
politics,9,12,12,3,5
politics,6,8,10,10,4
politics,2,3,9,3,1
politics,6,13,13,7,12
politics,1,1,4,3,3
politics,4,12,6,9,3
politics,2,4,9,5,3
politics,6,9,8,7,4
politics,0,3,1,5,0
politics,5,13,18,9,1
politics,4,11,6,2,6
politics,4,6,9,4,4
politics,4,8,5,9,2
politics,1,10,1,13,1
politics,7,13,16,9,6
politics,1,10,13,10,8
politics,11,8,16,3,5
politics,8,14,19,9,9
politics,3,7,3,6,2
politics,11,13,16,8,6
politics,2,5,14,7,0
politics,2,4,4,2,2
politics,12,20,23,12,12
politics,5,10,4,10,1
politics,6,3,16,2,2
politics,3,16,3,9,1
politics,6,13,16,5,9
politics,11,10,15,7,5
politics,2,6,11,5,2
politics,15,18,18,8,11
politics,7,11,18,4,7
politics,5,4,2,2,1
politics,14,13,15,5,6
politics,3,4,13,1,8
politics,12,24,27,15,16
politics,3,11,21,9,10
politics,15,23,17,10,11
politics,0,1,0,0,0
politics,6,5,10,1,6
politics,11,10,16,3,6
politics,6,10,9,5,5
politics,5,12,17,7,12
politics,18,23,40,9,13
politics,9,20,24,12,7
politics,8,12,13,7,6
politics,4,6,7,4,4
politics,23,19,57,1,19
politics,14,30,20,16,12
politics,11,20,24,19,4
politics,12,20,25,12,10
politics,4,6,7,6,3
politics,0,9,6,10,1
politics,2,9,12,8,7
politics,8,16,21,12,9
politics,16,19,34,9,14
politics,1,1,0,0,0
politics,5,8,6,5,9
politics,15,15,31,8,11
politics,14,22,40,11,16
politics,10,19,21,13,10
politics,7,12,10,6,6
politics,1,2,5,2,4
politics,5,12,3,6,0
politics,4,12,6,8,6
politics,0,5,11,4,0
politics,2,8,12,7,3
politics,1,8,15,9,3
politics,4,13,17,10,7
politics,10,21,10,20,8
politics,9,16,25,12,13
politics,2,2,3,0,5
politics,3,18,16,24,5
politics,8,16,12,9,8
politics,10,14,19,8,11
politics,16,27,19,17,11
politics,29,24,30,9,11
politics,1,1,2,1,0
politics,8,12,12,9,3
politics,2,4,6,2,3
politics,6,9,12,7,6
politics,2,4,7,4,2
politics,3,13,8,13,3
politics,11,10,24,7,8
politics,8,17,10,11,7
politics,5,17,13,14,6
politics,3,10,2,12,1
politics,4,8,4,4,3
politics,0,2,0,3,0
politics,6,16,19,14,7
politics,8,13,15,11,3
politics,3,14,10,9,4
politics,1,5,2,4,2
politics,3,5,4,2,3
politics,8,9,6,4,4
politics,12,13,29,4,13
politics,8,11,17,3,8
politics,10,17,25,9,11
politics,2,5,5,2,2
politics,5,15,9,11,6
politics,8,16,14,14,11
politics,13,16,22,8,7
politics,5,13,5,9,5
politics,3,14,12,12,5
politics,13,19,12,3,12
politics,8,15,17,10,9
